Easting,Northing,Head_maOD
239200,362350.0,0.0
239250,362350.0,1.7313728168620957
239300,362350.0,2.0784695212454283
239350,362350.0,2.0063134040352057
239400,362350.0,0.0
239450,362350.0,2.1026760937405014
239500,362350.0,2.3204047955075335
239550,362350.0,2.1720049282784117
239600,362350.0,0.0
239650,362350.0,2.2321866206505887
239700,362350.0,2.4506730816335773
239750,362350.0,2.288353220681279
239800,362350.0,0.0
239850,362350.0,2.342541444958221
239900,362350.0,2.5645783837006304
239950,362350.0,2.395676774179381
240000,362350.0,0.0
240050,362350.0,2.4481855413287192
240100,362350.0,2.6733301869735087
240150,362350.0,2.500228145377016
240200,362350.0,0.0
240250,362350.0,2.5518011382264265
240300,362350.0,2.7790357060276074
240350,362350.0,2.602787486083174
240400,362350.0,0.0
240450,362350.0,2.6529848677140575
240500,362350.0,2.8810324114596915
240550,362350.0,2.7021246475893532
240600,362350.0,0.0
240650,362350.0,2.749887379560891
240700,362350.0,2.977310728476772
240750,362350.0,2.7959179309026663
240800,362350.0,0.0
240850,362350.0,2.8398423760257843
240900,362350.0,3.0651602466371224
240950,362350.0,2.881288466416162
241000,362350.0,0.0
241050,362350.0,2.919910311909471
241100,362350.0,3.141818077785165
241150,362350.0,2.955414256072567
241200,362350.0,0.0
241250,362350.0,2.987576221963975
241300,362350.0,3.205293206676224
241350,362350.0,3.016235150097774
241400,362350.0,0.0
241450,362350.0,3.0412545177343424
241500,362350.0,3.254559313349607
241550,362350.0,3.0624702981497514
241600,362350.0,0.0
241650,362350.0,3.0796628133383925
241700,362350.0,3.288188740563072
241750,362350.0,3.092574497794405
241800,362350.0,0.0
241850,362350.0,3.100969415655077
241900,362350.0,3.304008406923361
241950,362350.0,3.104706511885361
242000,362350.0,0.0
242050,362350.0,3.103762723829406
242100,362350.0,3.301116753003086
242150,362350.0,3.0981807719027654
242200,362350.0,0.0
242250,362350.0,3.0880209625485633
242300,362350.0,3.2799795654498243
242350,362350.0,3.0733269412421116
242400,362350.0,0.0
242450,362350.0,3.05405376542575
242500,362350.0,3.240228102642023
242550,362350.0,3.030000295200742
242600,362350.0,0.0
