Easting,Northing,Thickness_m
241600,362350.0,10.796836223143838
241650,362350.0,10.749983191363116
241700,362350.0,10.703771224440548
241750,362350.0,10.658848264943524
241800,362350.0,10.61556572755115
241850,362350.0,10.573822796920778
241900,362350.0,10.533010907524476
241950,362350.0,10.4920857405026
242000,362350.0,10.44974636994267
242050,362350.0,10.404682490643328
242100,362350.0,10.355853653973682
242150,362350.0,10.302749196207095
242200,362350.0,10.245545941353791
242250,362350.0,10.185093916258301
242300,362350.0,10.122744093207356
242350,362350.0,10.06011524344394
242400,362350.0,9.998901232194624
242450,362350.0,9.94075692405463
242500,362350.0,9.887231250661035
242550,362350.0,9.839678706475208
242600,362350.0,9.799096455729817
242650,362350.0,9.765919248035804
242700,362350.0,9.73990747753584
242750,362350.0,9.720250055671604
242800,362350.0,9.705843099925369
242850,362350.0,9.695579316691486
242900,362350.0,9.688522868106803
242950,362350.0,9.683958589225536
243000,362350.0,9.681367180225454
243050,362350.0,9.680376539319774
243100,362350.0,9.680716029496246
241550,362400.0,10.85844002079624
241600,362400.0,10.807821461056147
241650,362400.0,10.757159705394086
241700,362400.0,10.707662953252017
241750,362400.0,10.660464310661544
241800,362400.0,10.616269910702837
241850,362400.0,10.575045659744472
241900,362400.0,10.535894332212413
241950,362400.0,10.49717632014161
242000,362400.0,10.456801320744406
242050,362400.0,10.412603785279487
242100,362400.0,10.362785374460763
242150,362400.0,10.306386670396796
242200,362400.0,10.243605775696293
242250,362400.0,10.175753295704856
242300,362400.0,10.104866484375192
242350,362400.0,10.0332447959837
242400,362400.0,9.96314697946735
242450,362400.0,9.896703134640989
242500,362400.0,9.835946355679448
242550,362400.0,9.7827927490793
242600,362400.0,9.738789965289804
242650,362400.0,9.704634258578949
242700,362400.0,9.679819223385039
242750,362400.0,9.662832151993738
242800,362400.0,9.651788652266239
242850,362400.0,9.645006419477864
242900,362400.0,9.641242409571168
242950,362400.0,9.639669706588794
243000,362400.0,9.639761392326957
243050,362400.0,9.641179432919351
243100,362400.0,9.643696747949258
243150,362400.0,9.647149680236469
243200,362400.0,9.651411122871984
241500,362450.0,10.927818613098141
241550,362450.0,10.873797211830189
241600,362450.0,10.818125034170993
241650,362450.0,10.762280236539164
241700,362450.0,10.708221643105512
241750,362450.0,10.657984948761431
241800,362450.0,10.613011431672994
241850,362450.0,10.573483542655143
241900,362450.0,10.538062687670129
241950,362450.0,10.504155717118849
242000,362450.0,10.468433881282987
242050,362450.0,10.427344766782317
242100,362450.0,10.37774408690933
242150,362450.0,10.317813272459244
242200,362450.0,10.24783084909328
242250,362450.0,10.170064633353714
242300,362450.0,10.0878170163273
242350,362450.0,10.004431238285207
242400,362450.0,9.922831842950275
242450,362450.0,9.845581668190508
242500,362450.0,9.77520607124338
242550,362450.0,9.714469590263272
242600,362450.0,9.666084912688579
242650,362450.0,9.631498688539185
242700,362450.0,9.609699908030864
242750,362450.0,9.597659983402417
242800,362450.0,9.592014760065664
242850,362450.0,9.59024199868117
242900,362450.0,9.590825327474844
242950,362450.0,9.592954911036784
243000,362450.0,9.596215962657304
243050,362450.0,9.600388805111836
243100,362450.0,9.605342768372896
243150,362450.0,9.610985485146644
243200,362450.0,9.617240558538938
243250,362450.0,9.624038634943476
241450,362500.0,11.005220946248588
241500,362500.0,10.949496969381332
241550,362500.0,10.889927569829435
241600,362500.0,10.827460836752095
241650,362500.0,10.764144483968552
241700,362500.0,10.703154174438497
241750,362500.0,10.648242398142923
241800,362500.0,10.602426671123759
241850,362500.0,10.566447131537817
241900,362500.0,10.5381715061421
241950,362500.0,10.513382966774316
242000,362500.0,10.486892431646572
242050,362500.0,10.452998838703127
242100,362500.0,10.406017395649776
242150,362500.0,10.342208211703813
