Easting,Northing,Head_maOD
241450,362350.0,3.0293211115345655
241500,362350.0,3.245156621816367
241550,362350.0,3.051294216044989
241600,362350.0,0.0
241650,362350.0,3.0691566823288037
241700,362350.0,3.279938924640935
241750,362350.0,3.0826526283900675
241800,362350.0,0.0
241850,362350.0,3.0915485600431145
241900,362350.0,3.2965746252364387
241950,362350.0,3.095706479358641
242000,362350.0,0.0
242050,362350.0,3.095106835377344
242100,362350.0,3.2941977741841133
242150,362350.0,3.0897967641729682
242200,362350.0,0.0
242250,362350.0,3.079844067601964
242300,362350.0,3.273321612552575
242350,362350.0,3.065302105919478
242400,362350.0,0.0
242450,362350.0,3.0461318900974006
242500,362350.0,3.2336300448990984
242550,362350.0,3.022129789232078
242600,362350.0,0.0
242650,362350.0,2.992928663132012
242700,362350.0,3.1741339259071086
242750,362350.0,2.958179511014111
242800,362350.0,0.0
242850,362350.0,2.9178043551780313
242900,362350.0,3.092811727888898
242950,362350.0,2.8720038691338843
243000,362350.0,0.0
243050,362350.0,2.821104999370266
243100,362350.0,2.989270388742811
243150,362350.0,2.7654204728938683
243200,362350.0,0.0
243250,362350.0,2.705095623787975
243300,362350.0,2.864645899549623
241400,362400.0,3.095192970533453
241450,362400.0,3.261694558293011
241500,362400.0,3.36352485428249
241550,362400.0,3.284344969817868
241600,362400.0,3.1411382397259873
241650,362400.0,3.3027499167694607
241700,362400.0,3.3996979107428
241750,362400.0,3.316512386452306
241800,362400.0,3.169403312096708
241850,362400.0,3.3252957998275163
241900,362400.0,3.416579760056376
241950,362400.0,3.328967467685318
242000,362400.0,3.177856041618497
242050,362400.0,3.327652258626991
242100,362400.0,3.4133667542718356
242150,362400.0,3.321576459329447
242200,362400.0,3.1665602202991465
242250,362400.0,3.3108178283324152
242300,362400.0,3.3914220517399185
242350,362400.0,3.2952540804056256
242400,362400.0,3.136210373791586
242450,362400.0,3.2747167876430248
242500,362400.0,3.3497062458994087
242550,362400.0,3.2491235731953374
242600,362400.0,3.0861820072549198
242650,362400.0,3.2183688141061935
242700,362400.0,3.2877404970186768
242750,362400.0,3.182012818634859
242800,362400.0,3.013521663424962
242850,362400.0,3.139528427611489
242900,362400.0,3.2028565833330522
242950,362400.0,3.0907944393885862
243000,362400.0,2.916660935210302
243050,362400.0,3.036029996951021
243100,362400.0,3.0928496051474648
243150,362400.0,2.975510246182827
243200,362400.0,2.797749295556989
243250,362400.0,2.9092983858901285
243300,362400.0,2.958651466177294
243350,362400.0,2.836909838059752
241350,362450.0,3.49161531151269
241400,362450.0,3.4836256212825663
241450,362450.0,3.5184246833656836
241500,362450.0,3.5498792971574273
241550,362450.0,3.5414904601089283
241600,362450.0,3.529798438909711
241650,362450.0,3.5602583347227483
241700,362450.0,3.587082449517883
241750,362450.0,3.5740404607557004
241800,362450.0,3.5574091473188214
241850,362450.0,3.5823070421030123
241900,362450.0,3.603391951594744
241950,362450.0,3.584930060367732
242000,362450.0,3.562991761827992
242050,362450.0,3.5823555742440916
242100,362450.0,3.598269949031479
242150,362450.0,3.5753380364686955
242200,362450.0,3.5491183280320207
242250,362450.0,3.5639825526437994
242300,362450.0,3.5752802615353327
242350,362450.0,3.547503487299582
242400,362450.0,3.5160737124627457
242450,362450.0,3.5252259455199373
242500,362450.0,3.530623514905463
242550,362450.0,3.497403549015967
242600,362450.0,3.46096522825988
242650,362450.0,3.465188392177406
242700,362450.0,3.4660871462245533
242750,362450.0,3.4283150706926997
242800,362450.0,3.386542082835374
242850,362450.0,3.3848421128002992
242900,362450.0,3.3790905040857377
242950,362450.0,3.3338725811563834
243000,362450.0,3.284566361555064
243050,362450.0,3.275550156603052
243100,362450.0,3.262497824970994
243150,362450.0,3.2101936714967514
243200,362450.0,3.154060095357216
243250,362450.0,3.1378179340869004
243300,362450.0,3.117254029896586
243350,362450.0,3.0577107322834274
243400,362450.0,2.9939144005368528
241300,362500.0,3.672774356045505
241350,362500.0,3.6836148087380516
241400,362500.0,3.693635123581442
241450,362500.0,3.7106158185256466
241500,362500.0,3.726672543087376
241550,362500.0,3.7343161425355347
241600,362500.0,3.740820282753882
241650,362500.0,3.7537347468229587
241700,362500.0,3.765172640628222
241750,362500.0,3.767700738229803
241800,362500.0,3.768581671574266
241850,362500.0,3.7753845564374555
241900,362500.0,3.7804386527245124
241950,362500.0,3.7765938425323373
242000,362500.0,3.7712692429955412
242050,362500.0,3.772228760603712
242100,362500.0,3.772219466933303
242150,362500.0,3.7643068367252974
242200,362500.0,3.755563891311538
242250,362500.0,3.7531593114232376
242300,362500.0,3.7492354436215947
242350,362500.0,3.7363504121559616
242400,362500.0,3.72147385325105
242450,362500.0,3.712004267433078
242500,362500.0,3.700588433199747
242550,362500.0,3.680669970839698
242600,362500.0,3.6601359453516817
242650,362500.0,3.646906705932611
242700,362500.0,3.6333514221311947
242750,362500.0,3.6114678650101726
242800,362500.0,3.587470759610123
242850,362500.0,3.568514289315896
242900,362500.0,3.547104545575834
242950,362500.0,3.5160980223461302
243000,362500.0,3.48275331356249
243050,362500.0,3.454723427301026
243100,362500.0,3.424522436437885
243150,362500.0,3.3849900500357113
243200,362500.0,3.3433354854769766
243250,362500.0,3.3069827285917093
243300,362500.0,3.2682522941772825
243350,362500.0,3.219861293101883
243400,362500.0,3.168587660304384
243450,362500.0,3.121097315149476
241200,362550.0,3.7926009330464203
241250,362550.0,3.8091999356548354
241300,362550.0,3.824946015073245
241350,362550.0,3.8385815447736076
241400,362550.0,3.851704666312652
241450,362550.0,3.8657934224544914
241500,362550.0,3.8792931684985126
241550,362550.0,3.8905744468154935
241600,362550.0,3.900804792837086
241650,362550.0,3.9111459900711405
241700,362550.0,3.919921970736907
241750,362550.0,3.92554006262786
241800,362550.0,3.9292927213510134
241850,362550.0,3.93251446000711
241900,362550.0,3.9337475984463746
241950,362550.0,3.9316456276559046
242000,362550.0,3.9278106883491124
242050,362550.0,3.924147853561138
242100,362550.0,3.9201226119943113
242150,362550.0,3.915080425841149
242200,362550.0,3.9101886037000804
242250,362550.0,3.9058502885293334
242300,362550.0,3.89971068579291
242350,362550.0,3.8897737444706375
242400,362550.0,3.877050298514155
242450,362550.0,3.8626817123942696
242500,362550.0,3.8452601888130213
