month,parc_mawr_mm,raf_valley_mm,ratio
1950-01,19.7,23.3999999999999,0.8418803418803454
1950-02,111.2,123.2,0.9025974025974026
1950-03,60.3,54.4,1.1084558823529411
1950-04,69.6,65.9,1.0561456752655536
1950-05,17.7,15.8,1.120253164556962
1950-06,73.8,33.5,2.2029850746268655
1950-07,86.2,57.3,1.5043630017452008
1950-08,162.1,100.9,1.6065411298315162
1950-09,217.1,175.0,1.2405714285714284
1950-10,80.0,80.0999999999999,0.9987515605493147
1950-11,109.1,93.59999999999991,1.1655982905982916
1950-12,101.8,87.0,1.1701149425287356
1951-01,86.4,80.19999999999999,1.0773067331670825
1951-02,89.6,80.9,1.107540173053152
1951-03,123.7,110.2,1.1225045372050817
1951-04,44.8,38.5,1.1636363636363636
1951-05,57.6,65.5999999999999,0.8780487804878063
1951-06,13.9,17.6,0.7897727272727272
1951-07,33.1,27.3,1.2124542124542124
1951-08,106.7,142.6,0.7482468443197756
1951-09,106.7,107.2,0.9953358208955224
1951-10,5.3,26.5,0.19999999999999998
1951-11,186.7,155.29999999999998,1.2021893110109465
1951-12,145.1,143.3,1.0125610607117934
1952-01,88.1,89.7,0.9821627647714604
1952-02,30.4,22.1,1.3755656108597283
1952-03,46.6,52.8999999999999,0.8809073724007579
1952-04,52.7,50.7,1.039447731755424
1952-05,34.4,61.699999999999996,0.5575364667747164
1952-06,64.8,46.5,1.3935483870967742
1952-07,40.5,28.6,1.416083916083916
1952-08,72.9,87.0,0.8379310344827587
1952-09,48.6,80.69999999999999,0.6022304832713755
1952-10,100.3,99.3,1.0100704934541793
1952-11,78.0,68.1,1.145374449339207
1952-12,60.8,89.89999999999999,0.6763070077864294
1953-01,54.0,39.0,1.3846153846153846
1953-02,70.6,73.3,0.9631650750341064
1953-03,18.7,20.2,0.9257425742574258
1953-04,79.0,75.1,1.051930758988016
1953-05,48.8,68.8,0.7093023255813954
1953-06,24.9,23.7,1.0506329113924051
1953-07,46.8,51.0,0.9176470588235294
1953-08,76.9,79.09999999999991,0.972187104930469
1953-09,101.8,98.9,1.0293225480283112
1953-10,62.3,76.2999999999999,0.816513761467891
1953-11,84.2,124.7,0.6752205292702486
1953-12,30.1,39.5,0.7620253164556963
