site_no,date,depth_below_surface_cm,level_m_od,source,px_x,px_y,sketch_slack,basin_id,headline_well
1,1951-02-24,10.5,9.005,Ranwell 1959 Fig. 4 (1951 panel),297,84,PL,1,ceh25
1,1951-02-28,11.3,8.997,Ranwell 1959 Fig. 4 (1951 panel),312,87,PL,1,ceh25
1,1951-03-02,19.0,8.92,Ranwell 1959 Fig. 4 (1951 panel),321,117,PL,1,ceh25
1,1951-03-07,20.3,8.907,Ranwell 1959 Fig. 4 (1951 panel),340,122,PL,1,ceh25
1,1951-03-31,2.6,9.084,Ranwell 1959 Fig. 4 (1951 panel),432,53,PL,1,ceh25
1,1951-04-09,11.6,8.994,Ranwell 1959 Fig. 4 (1951 panel),467,88,PL,1,ceh25
1,1951-04-10,13.6,8.974,Ranwell 1959 Fig. 4 (1951 panel),474,96,PL,1,ceh25
1,1951-04-20,32.6,8.784,Ranwell 1959 Fig. 4 (1951 panel),512,170,PL,1,ceh25
1,1951-04-24,40.6,8.704,Ranwell 1959 Fig. 4 (1951 panel),527,201,PL,1,ceh25
1,1951-05-18,70.4,8.406,Ranwell 1959 Fig. 4 (1951 panel),619,317,PL,1,ceh25
1,1951-05-23,59.4,8.516,Ranwell 1959 Fig. 4 (1951 panel),638,274,PL,1,ceh25
1,1951-05-28,60.7,8.503,Ranwell 1959 Fig. 4 (1951 panel),657,279,PL,1,ceh25
1,1951-05-31,68.4,8.426,Ranwell 1959 Fig. 4 (1951 panel),669,309,PL,1,ceh25
1,1951-06-05,77.1,8.339,Ranwell 1959 Fig. 4 (1951 panel),688,343,PL,1,ceh25
1,1951-06-07,83.0,8.28,Ranwell 1959 Fig. 4 (1951 panel),696,366,PL,1,ceh25
1,1951-06-26,86.1,8.249,Ranwell 1959 Fig. 4 (1951 panel),769,378,PL,1,ceh25
1,1951-09-16,84.3,8.267,Ranwell 1959 Fig. 4 (1951 panel),1087,371,PL,1,ceh25
1,1951-09-25,69.7,8.413,Ranwell 1959 Fig. 4 (1951 panel),1122,314,PL,1,ceh25
1,1951-10-05,66.6,8.444,Ranwell 1959 Fig. 4 (1951 panel),1161,302,PL,1,ceh25
1,1951-10-15,77.6,8.334,Ranwell 1959 Fig. 4 (1951 panel),1199,345,PL,1,ceh25
1,1951-11-01,85.9,8.251,Ranwell 1959 Fig. 4 (1951 panel),1264,377,PL,1,ceh25
1,1951-11-15,54.0,8.57,Ranwell 1959 Fig. 4 (1951 panel),1316,253,PL,1,ceh25
1,1951-11-21,21.1,8.899,Ranwell 1959 Fig. 4 (1951 panel),1339,125,PL,1,ceh25
1,1951-11-29,21.1,8.899,Ranwell 1959 Fig. 4 (1951 panel),1371,125,PL,1,ceh25
1,1951-12-16,6.2,9.048,Ranwell 1959 Fig. 4 (1951 panel),1437,67,PL,1,ceh25
4,1951-02-28,1.5,11.605,Ranwell 1959 Fig. 4 (1951 panel),313,49,CG,4,ceh27
