site_no,sketch_slack,well,ground_m_od,dist_m,headline,beta_1,beta_2,beta_3,n,n_at_surface,offset_m,r,nse_after_offset,range_obs_m,range_model_m,min_month_obs,min_month_model,climate_expectation_m,nse_after_offset_b1x1.00,nse_after_offset_b1x1.03,nse_after_offset_b1x1.06,nse_after_offset_b1x1.10
1,PL,ceh25,9.11,92.60119537563357,True,6.239500289175921,0.3441363226922813,0.133792650424645,24,1,-0.04979275551234758,0.743831376410342,0.3198061163230197,1.084999999999999,1.1854909385752208,1951-06,1951-06,-0.04849464590690794,0.3198061163230197,0.28338406961376505,0.24488255691696892,0.1910982952619068
1,PL,ceh5,9.11,134.5298532594419,False,5.294153376746145,1.2758934010011,0.097741944221676,24,1,-0.6051362295407233,0.7905190394316503,0.47552840255382745,1.084999999999999,1.2121914916712209,1951-06,1951-10,-0.01836783118149321,0.47552840255382745,0.4469215983571744,0.416399053699382,0.37404746900458596
1,PL,ceh6,9.11,145.94120591868815,False,5.333095839640773,-0.3879680870034472,0.1216521453322475,24,1,0.4586651304647822,0.6972614598289444,0.3480386425147256,1.084999999999999,1.071280810721058,1951-06,1951-06,-0.06417161717468184,0.3480386425147256,0.32642479286341164,0.30323208147803327,0.2698524591556477
1,PL,l7,9.11,293.48642217317246,False,4.371264974950926,2.560928982756871,0.0846120861395476,24,1,-0.8175089768725803,0.8128310201183151,0.5453743143864667,1.084999999999999,1.2382863606936416,1951-06,1951-10,0.035791800412214414,0.5453743143864667,0.5291715504124361,0.5116716659382093,0.4863207436389332
4,CG,ceh27,11.62,132.68373953878918,True,5.063311260057113,0.7972000111521061,0.0984146431763227,25,4,0.787347023606411,0.7471530611919691,0.463537357582958,0.8650000000000002,0.8980804481169429,1951-08,1951-08,-0.02697055968697698,0.463537357582958,0.44411132076544035,0.42354194357548336,0.3943375778539736
4,CG,wmc4,11.62,172.99797425982044,False,4.841499862472403,1.7383995445048976,0.088173798080198,25,4,-0.06305105029197156,0.8108880783484091,0.575338425582067,0.8650000000000002,0.9677870329299108,1951-08,1951-08,-0.03947953159440809,0.575338425582067,0.5608650027797099,0.5466997416136208,0.5272664758382422
4,CG,nw13,11.62,173.06822354205093,False,4.8126538139570245,1.6702439565542886,0.0877504015939617,25,4,-0.09310570476574347,0.8085220236896643,0.5752112290864908,0.8650000000000002,0.9596250815024199,1951-08,1951-08,-0.041500784260026236,0.5752112290864908,0.5596014404101131,0.5443895144999653,0.5252487296143571
4,CG,nw11,11.62,199.34394899269492,False,4.507653257040994,2.055719011754059,0.0748081151033412,25,4,0.09224858452106563,0.8361957184130828,0.6379755338767819,0.8650000000000002,0.9692818706535711,1951-08,1951-08,0.006007931819176471,0.6379755338767819,0.6273151280491341,0.6178339501766164,0.6041253617908735
4,CG,nw1,11.62,227.62866691170893,False,4.406113057247018,1.9633218418495568,0.1014401032458586,25,4,0.46946437907978494,0.8236819672193187,0.624263749535996,0.8650000000000002,0.9335254432187519,1951-08,1951-08,0.030519773628387314,0.624263749535996,0.6142563645723904,0.6034451128611348,0.5877796511942212
4,CG,nw2,11.62,262.3753860178265,False,4.5828222040299975,1.757596928597514,0.081931294282788,25,4,0.5683461001911884,0.8197287597516628,0.6107144349438718,0.8650000000000002,0.9488560263325674,1951-08,1951-08,0.025704743793046214,0.6107144349438718,0.5965396231329663,0.5819955057219985,0.5652936358553919
8,AS,nw5,6.85,118.09280866335517,True,3.526636184038606,1.9516632142522248,0.0498449436564382,10,0,1.2818127689363783,0.9141067894565227,0.7983081291415056,0.6007333333333351,0.5702956298986681,1951-08,1951-08,0.0134702277927774,0.7983081291415056,0.7889845475375561,0.7785084457682049,0.7627475009295552
