F,cluster,label,Sy_event_median,Sy_event_Q25,Sy_event_Q75,Sy_event_n,open_dune_min,open_dune_max,within_open_dune_range,is_headline_F
0.0,C4,C4 (Main Forest),0.3149282750913545,0.25699460608856395,0.40097283012670426,51,0.21040732046590357,0.3249080468283794,True,False
0.0,C5,C5 (Coastal Forest),0.35794695415422007,0.31902833327642977,0.4323152935644141,35,0.21040732046590357,0.3249080468283794,False,False
0.02,C4,C4 (Main Forest),0.3028717117427401,0.25087664441867835,0.390178681190534,51,0.21040732046590357,0.3249080468283794,True,False
0.02,C5,C5 (Coastal Forest),0.34795484150253214,0.3060290303351327,0.4280728608002146,36,0.21040732046590357,0.3249080468283794,False,False
0.04,C4,C4 (Main Forest),0.3016189739242797,0.24960379763528764,0.39238356311793865,54,0.21040732046590357,0.3249080468283794,True,False
0.04,C5,C5 (Coastal Forest),0.3485019613080144,0.2970953575445409,0.434541150444286,36,0.21040732046590357,0.3249080468283794,False,False
0.06,C4,C4 (Main Forest),0.294175843975514,0.23723706373256967,0.3788082074141391,54,0.21040732046590357,0.3249080468283794,True,False
0.06,C5,C5 (Coastal Forest),0.34929807739331886,0.2958273891517109,0.43895970739043555,38,0.21040732046590357,0.3249080468283794,False,False
0.08,C4,C4 (Main Forest),0.2976114660988026,0.23396177554305775,0.38183552343676685,56,0.21040732046590357,0.3249080468283794,True,False
0.08,C5,C5 (Coastal Forest),0.34779628225885506,0.3042916535011777,0.43361143440166583,40,0.21040732046590357,0.3249080468283794,False,False
0.1,C4,C4 (Main Forest),0.2980693482339888,0.23268208478385624,0.3763903842970172,55,0.21040732046590357,0.3249080468283794,True,False
0.1,C5,C5 (Coastal Forest),0.37394452981133713,0.30181264743741987,0.43532129551303966,39,0.21040732046590357,0.3249080468283794,False,False
0.12,C4,C4 (Main Forest),0.2963974999516885,0.22737358907923416,0.3711488079175908,56,0.21040732046590357,0.3249080468283794,True,False
0.12,C5,C5 (Coastal Forest),0.3623144720078689,0.293006819180404,0.4221124456730028,39,0.21040732046590357,0.3249080468283794,False,False
0.14,C4,C4 (Main Forest),0.28177472290630123,0.21782734191260408,0.3610810612634415,56,0.21040732046590357,0.3249080468283794,True,False
0.14,C5,C5 (Coastal Forest),0.3562922998412324,0.28360667484207036,0.4094546262945429,40,0.21040732046590357,0.3249080468283794,False,False
0.16,C4,C4 (Main Forest),0.276440343879796,0.2120828583200533,0.35318174539096026,58,0.21040732046590357,0.3249080468283794,True,False
0.16,C5,C5 (Coastal Forest),0.35010134525724496,0.2788610848266802,0.39565282885936687,40,0.21040732046590357,0.3249080468283794,False,False
0.18,C4,C4 (Main Forest),0.2699370927070179,0.2058317293881193,0.3430145999057128,59,0.21040732046590357,0.3249080468283794,True,False
0.18,C5,C5 (Coastal Forest),0.3463647730457696,0.2720075659879248,0.4034213552083754,44,0.21040732046590357,0.3249080468283794,False,False
0.2,C4,C4 (Main Forest),0.25841709270701785,0.19697294250571035,0.3328249152848579,59,0.21040732046590357,0.3249080468283794,True,False
0.2,C5,C5 (Coastal Forest),0.3273431159375833,0.2641950659879248,0.38421500868888936,44,0.21040732046590357,0.3249080468283794,False,False
0.22,C4,C4 (Main Forest),0.2681153971723457,0.19254601862464754,0.3387669100913183,63,0.21040732046590357,0.3249080468283794,True,False
0.22,C5,C5 (Coastal Forest),0.33798426051616437,0.25934389286375614,0.40885590091501284,50,0.21040732046590357,0.3249080468283794,False,False
0.24,C4,C4 (Main Forest),0.2610175546798005,0.1844639431838947,0.33613854128505083,65,0.21040732046590357,0.3249080468283794,True,True
0.24,C5,C5 (Coastal Forest),0.3303583445593077,0.24816314649400395,0.3973623529477505,51,0.21040732046590357,0.3249080468283794,False,True
0.26,C4,C4 (Main Forest),0.25372112074634245,0.1810140338557601,0.33940332546944346,66,0.21040732046590357,0.3249080468283794,True,False
0.26,C5,C5 (Coastal Forest),0.3224297681138013,0.24465408291497096,0.4208322534632485,55,0.21040732046590357,0.3249080468283794,True,False
0.28,C4,C4 (Main Forest),0.24588725475344667,0.17492835073221202,0.33172966487970673,69,0.21040732046590357,0.3249080468283794,True,False
0.28,C5,C5 (Coastal Forest),0.30698706723332714,0.23584547915817242,0.4032114430157101,54,0.21040732046590357,0.3249080468283794,True,False
0.3,C4,C4 (Main Forest),0.23513783489301632,0.17254035430156156,0.32307139643839544,67,0.21040732046590357,0.3249080468283794,True,False
0.3,C5,C5 (Coastal Forest),0.29333015233971005,0.2280126745896445,0.3851787264471651,54,0.21040732046590357,0.3249080468283794,True,False
0.32,C4,C4 (Main Forest),0.22549843059136893,0.1655990851954939,0.30979437529254317,67,0.21040732046590357,0.3249080468283794,True,False
0.32,C5,C5 (Coastal Forest),0.288860983479595,0.21891111601974994,0.3798124823182123,56,0.21040732046590357,0.3249080468283794,True,False
0.34,C4,C4 (Main Forest),0.21753719302675845,0.1595934149097657,0.29381037588894654,64,0.21040732046590357,0.3249080468283794,True,False
