Cluster,Corrected,Sy_assumed,Sy_OLS_winter,Sy_OLS_SE,Sy_OLS_R2,Sy_OLS_n,Sy_event_median,Sy_event_Q25,Sy_event_Q75,Sy_event_n,Sy_rapid_median,Sy_rapid_CI_lo,Sy_rapid_CI_hi,Sy_rapid_n,Sy_rapid_mean_dur,Sy_rapid_mean_rise_m,Sy_event_n_months,Sy_event_n_pass_R,Sy_event_n_pass_dh,Sy_event_n_qualifying,Sy_event_n_censored,Sy_event_pct_censored,Sy_event_median_unclipped
C1 (Lake Edge),False,0.08,0.3523884242984514,0.045289122017291565,0.6021555961149188,41.0,0.21040732046590357,0.12725378252368577,0.259534383324059,58,0.1804109639545531,0.09744571028469214,0.2201130664442488,19.0,1.4736842105263157,0.3931829573934838,238,141,106,96,38,39.583333333333336,0.3014325463683142
C2 (Dune),False,0.12,0.3669102596499763,0.040473392781296504,0.6264751819831837,50.0,0.2552674338937326,0.19792268422912207,0.34305797321496423,59,0.2728080978916273,0.14021583711529106,0.33368071149925294,21.0,1.5714285714285714,0.31664153778182724,248,147,108,101,42,41.584158415841586,0.39247836361311794
C3 (Western Residual),False,0.12,0.3486222026497041,0.01997390689655024,0.8494303351245647,55.0,0.3249080468283794,0.2633673562759786,0.3975643840314831,61,0.31411842881942703,0.24328268017850013,0.41778344018965674,19.0,1.5263157894736843,0.3565137004626977,251,148,114,110,49,44.54545454545455,0.4504671392078931
C4 (Main Forest),False,0.12,0.3060520390436067,0.017855725279795998,0.8595624876977969,49.0,0.3149282750913545,0.25699460608856395,0.40097283012670426,51,0.30588438456057354,0.2517918086903327,0.34180960544449823,13.0,1.8461538461538463,0.3490590784443243,238,141,94,92,41,44.56521739130435,0.4393413627389037
C5 (Coastal Forest),False,0.12,0.4184450675730941,0.02294611720812714,0.8692985334707228,51.0,0.35794695415422007,0.31902833327642977,0.4323152935644141,35,0.31134536072356794,0.27007067797218404,0.37585598388907704,13.0,1.7692307692307692,0.31872440100882726,240,142,93,89,54,60.674157303370784,0.6110856172865793
C4 (Main Forest) (corrected),True,0.12,,,,,0.2610175546798005,0.1844639431838947,0.33613854128505083,65,,,,,,,238,106,94,85,20,23.529411764705884,0.3055115293920339
C5 (Coastal Forest) (corrected),True,0.12,,,,,0.3303583445593077,0.24816314649400395,0.3973623529477505,51,,,,,,,240,107,93,80,29,36.25,0.42685255206181727
