well,E,N,cluster,network,dem,depth_bg,h_0_m,horizon_n,alpha,S_P_mm,S_E_mm,lambda,pflood_mm,exceeds_mean,unreachable
ceh24,242938.911,363392.114,2,Reference,5.958,0.7006250000000005,-0.7006250000000005,5,0.9433169769387992,407.6272566380146,117.48061357164798,0.46154938782632365,213.82462232337423,False,False
ceh25,242512.557,364638.544,1,Reference,9.076,0.8787499999999984,-0.8787499999999984,5,0.8810600167622548,353.77375922911426,100.56690898006488,0.2679187144173941,124.12023379222855,False,False
ceh26,242172.261,364362.239,1,Reference,10.45,0.7874999999999979,-0.7874999999999979,5,0.9295135748641569,395.055014715903,113.50229233697259,0.42843860578088366,198.4852011207144,False,False
ceh27,242005.373,364330.297,1,Reference,10.94,0.7624999999999993,-0.7624999999999993,5,0.9165583587009851,383.5891436563162,109.88928981832089,0.3514400212322509,162.8136268649576,False,False
ceh28,242331.051,364122.039,2,Reference,10.396,1.0047783633468637,-1.0047783633468637,5,0.9472692984333682,411.2957499616552,118.64464289103705,0.6257819967644273,289.90960153818054,False,False
ceh30,241072.0,363760.0,4,Reference,8.67,1.995,-1.995,6,0.9833355498798007,499.2491809009287,158.2869645527789,2.1106733192358162,1105.4349984737694,True,False
ceh31,241075.0,363538.0,5,Reference,6.49,1.6743749999999995,-1.6743749999999995,6,0.9775035091541622,490.948952072838,155.70291525855208,1.9043223415740196,997.3616217945129,True,False
Ceh32,241167.0,364003.0,4,Reference,11.07,2.051874999999999,-2.051874999999999,6,0.9896325712518999,508.3666890445874,161.13047498292866,2.185038800579565,1144.3828569635386,True,False
ceh33,240936.0,363808.0,4,Reference,8.83,1.9906249999999996,-1.9906249999999996,6,0.9891191806281406,507.6172463500209,160.8965478678728,2.242990029336198,1174.7339851501288,True,False
ceh34,241334.0,363887.0,4,Reference,9.8,1.1812500000000004,-1.1812500000000004,6,0.9988324260455217,521.9823426888189,165.3863864133939,1.5147239886202721,793.3150501257442,True,False
ceh36,241161.0,363306.0,3,Reference,5.31,0.9539999999999997,-0.9539999999999997,6,0.9619173506612163,469.4318175076312,149.02510913569344,0.7906198808653728,414.0758680335123,False,False
ceh39,241719.0,363435.0,3,Reference,7.85,0.861538461538462,-0.861538461538462,6,0.9764984225459818,489.5323513249367,155.26233757756714,0.8177383711643552,428.2787899206,False,False
ceh40,242060.283,363398.508,2,Reference,7.77,0.8858333333333333,-0.8858333333333333,5,0.9783749989515911,441.2628503619364,128.2043923282144,0.9666281678732472,447.8153549201699,False,False
ceh41,242284.022,363324.592,2,Reference,7.15,0.8250000000000011,-0.8250000000000011,5,0.9807756865162581,443.65803592506876,128.9722464685711,0.8688482136913436,402.51627680372405,False,False
ceh42,242120.528,362743.198,3,Reference,3.62,0.6900956284153006,-0.6900956284153006,6,0.962725240293484,470.52371898598466,149.36323220562883,0.5864319186266923,307.13533978189247,False,False
WMC1,242765.629,363643.556,2,Reference,7.335,0.8799999999999999,-0.8799999999999999,5,0.9575076355367228,420.9431636569822,121.71246764176877,0.6755782729542283,312.97900695877934,False,False
WMC2,241885.149,362855.856,3,Reference,4.552,0.9517647058823524,-0.9517647058823524,6,0.9652584787476408,473.9639509531379,150.4290793740886,0.7494934743875427,392.5365001608413,False,False
wmc3,241217.327,363562.323,3,Reference,8.69,1.4262499999999996,-1.4262499999999996,6,0.9764959961498855,489.52893638680916,155.26127565307075,1.3964995630895347,731.3966961743852,True,False
wmc4,241761.0,364180.0,3,Reference,12.09,1.2228571428571389,-1.2228571428571389,6,0.9234518402854572,420.28331274407435,133.89357842250718,0.5394602819823348,282.53461611279084,False,False
L7,242812.0,364395.0,2,Reference,10.31,2.0088235294117673,-2.0088235294117673,5,0.9432926397885498,407.60476263252,117.47348049278787,1.1633791154829858,538.9652907104627,True,False
D5,242083.407,363901.712,2,Reference,10.6,0.8656249999999996,-0.8656249999999996,5,0.9482899717745783,412.2481433121561,118.94707191996073,0.5799374159217716,268.6709206021701,False,False
D6,242114.898,364021.851,2,Reference,10.875,0.9556249999999977,-0.9556249999999977,5,0.9545761242209583,418.1594460818327,120.82628253335167,0.6501064244052243,301.17851812806197,False,False
D7,242610.75,364204.554,2,Reference,9.875,0.810996732026144,-0.810996732026144,5,0.9441067553732296,408.35785503217124,117.71232284045664,0.5346884757360671,247.7081855169663,False,False
D8,242676.867,364024.231,2,Reference,9.326,0.7525000000000013,-0.7525000000000013,5,0.9587215058762587,422.1008943259186,122.08125719982203,0.5947504463096253,275.533437835839,False,False
D9,242710.726,363910.68,2,Reference,9.156,0.9550000000000001,-0.9550000000000001,5,0.9507187576076105,414.5227649485268,119.66975086238578,0.6253043464929952,289.6883177675041,False,False
D10,242613.907,364118.797,2,Reference,9.643,0.8087499999999999,-0.8087499999999999,5,0.9581669928042367,421.5716584231811,121.9126548847926,0.6037016047429148,279.68029215270576,False,False
D15,241980.565,363895.719,2,Reference,10.521,0.6681249999999999,-0.6681249999999999,5,0.9544781627519597,418.0667210561821,120.79677744917478,0.5067230636614344,234.75248926279644,False,False
D17,242446.951,363534.961,2,Reference,7.979,0.7306249999999999,-0.7306249999999999,5,0.939774952571454,404.365719378249,116.44690733240608,0.4510080455049596,208.94107442991407,False,False
D25,242215.187,363143.807,3,Reference,5.401,0.8235952792170407,-0.8235952792170407,6,0.9519570998290356,456.17621252745215,144.92688107743632,0.5551658742248157,290.7601956841868,False,False
D38,242711.571,363069.196,2,Reference,4.771,1.0131249999999996,-1.0131249999999996,5,0.8997482324595846,369.1822632798523,105.3711345990409,0.3956260741496236,183.2839520917198,False,False
D41,242771.66,363342.853,2,Reference,5.92,0.7526024590163933,-0.7526024590163933,5,0.9519240964286405,415.6559540551712,120.02998032280317,0.5505110762074659,255.03841205221102,False,False
T41a,242709.928,363275.666,2,Reference,5.89,0.5187499999999998,-0.5187499999999998,5,0.9122448962928057,379.8421103974411,108.71182171632093,0.28828503583178516,133.555455892853,False,False
T41b,242715.085,363309.565,2,Reference,5.71,0.7868749999999993,-0.7868749999999993,5,0.9496816965263712,413.55009589891745,119.36065478557057,0.5386618751607493,249.54896497357834,False,False
T41c,242721.13,363323.682,2,Reference,5.89,0.7356249999999998,-0.7356249999999998,5,0.9452080473391139,409.3786764829442,118.03617057029672,0.4919511935275513,227.90904057518597,False,False
T41d,242731.987,363353.284,2,Reference,6.3,0.8968750000000005,-0.8968750000000005,5,0.9509707023296837,414.7593893539733,119.7449604605769,0.6332918667431163,293.3887419167506,False,False
D43,242664.714,363428.693,2,Reference,6.907,1.0631249999999994,-1.0631249999999994,5,0.9424510120786559,406.82759133664194,117.22706441774108,0.6193260304030526,286.91870911071015,False,False
D44,242819.407,363279.547,2,Reference,5.81,1.0318750000000003,-1.0318750000000003,5,0.928249314473454,393.9219756813148,113.14460384775629,0.5410583012037224,250.65917096036964,False,False
