well,E,N,cluster,network,dem,depth_bg,h_0_m,horizon_n,alpha,S_P_mm,S_E_mm,lambda,pflood_mm,exceeds_mean,unreachable
nw1,241725.0,364139.0,3,Reference,12.633,1.7035714285714256,-1.7035714285714256,6,0.9094861387643812,403.75818870633753,128.84706988905089,0.7738338538717779,405.2844261960026,False,False
nw2,241703.008,364112.082,3,Reference,12.064,0.5630952380952401,-0.5630952380952401,6,0.9204699446211457,416.6978822399084,132.7967979676078,0.35728515749951356,187.12299716669162,False,False
nw3,242091.94,363939.361,2,Reference,10.706,0.8188177600176036,-0.8188177600176036,5,0.9582786207226556,421.6781480350994,121.94657774596234,0.6258091546500371,289.92218312703494,False,False
nw4,242431.164,363744.512,2,Reference,9.23,0.6185714285714301,-0.6185714285714301,5,0.9615558947100256,424.81577336766014,122.94659653088762,0.5600355989294153,259.45089211945265,False,False
nw 4b,242414.677,363751.66,2,Reference,9.336,0.6717500000000012,-0.6717500000000012,5,0.9553390710901603,418.88226835586516,121.0563144483347,0.5418867649010161,251.0429780714931,False,False
nw5,241711.757,363023.697,3,Reference,5.725,0.9631124058313176,-0.9631124058313176,6,0.955760105648784,461.19268346311696,146.4763829477701,0.6657381863082805,348.67086453344314,False,False
nw6,241444.307,363316.599,3,Reference,6.441,0.694922041359507,-0.694922041359507,6,0.9525099027745857,456.9019949979793,145.15095331594918,0.5080661098428181,266.09236694289245,False,False
nw7,241423.695,363584.862,3,Reference,8.504,1.5137886996445236,-1.5137886996445236,6,0.9647540358769764,473.27690663143414,150.21615635944036,1.2226556758083096,640.3484436949476,True,False
nw9,240937.259,363567.162,5,Reference,5.18,0.9806999999999997,-0.9806999999999997,6,0.9578407051335072,463.9604868195854,147.33206299218892,0.790376013442898,413.94814595481137,False,False
nw10,241435.0,364325.025,4,Reference,11.8,1.2905434782608705,-1.2905434782608705,6,0.9706842258300451,481.4167691662505,152.7408290637342,1.0178432463095035,533.0808596367979,True,False
nw11,241689.0,364237.0,3,Reference,12.1,1.084210526315788,-1.084210526315788,6,0.9361928281698122,435.95966486156186,138.70061969849024,0.5795900912673245,303.55203044281444,False,False
nw13,241761.0,364180.0,3,Reference,12.09,1.1800000000000015,-1.1800000000000015,6,0.9252316719226313,422.43833502177426,134.5532818274166,0.5344474020671067,279.9091918697604,False,False
ceh 1,241595.864,363948.335,3,Reference,10.692,1.0180000000000007,-1.0180000000000007,6,0.9449783697475352,447.11262636253707,142.13182248950204,0.5795708297736754,303.5419425106799,False,False
ceh2,241421.0,363979.0,4,Reference,12.03,0.8560526315789456,-0.8560526315789456,6,0.998403390511208,521.3394963986525,165.18519607399008,1.1044831549566183,578.4572740777436,True,False
ceh4,241131.693,363211.05,3,Reference,4.549,0.8922500000000007,-0.8922500000000007,6,0.9377890503154306,437.96494449719887,139.31686596546714,0.5289436982554286,277.0267056227342,False,False
ceh5,242521.077,364465.817,1,Reference,9.638,0.828249999999997,-0.828249999999997,5,0.920050357728126,386.64826955140023,110.8517918575157,0.3951956406149224,183.0845426884786,False,False
ceh6,242621.679,364724.912,1,Reference,8.611,0.5275000000000034,-0.5275000000000034,5,0.8893199421745575,360.5063285716585,102.6623853339283,0.17777370427529424,82.35823982935426,False,False
ceh9,241711.211,363459.012,3,Reference,7.983,1.0432500000000005,-1.0432500000000005,6,0.9760922334999454,488.9610045670814,155.08467955061755,0.9358226562589769,490.12374732054957,False,False
ceh10,242538.185,363173.915,2,Reference,5.818,1.6814999999999998,-1.6814999999999998,5,0.9141657885009463,381.5064405678758,109.23461958890861,0.7961080764107765,368.81753774782845,False,False
ceh11,242618.62,362688.287,1,Reference,3.584,0.8797500000000005,-0.8797500000000005,5,0.924422781334342,390.51129686720066,112.06875122438083,0.45178794178057624,209.30238143406913,False,False
ceh13,240964.108,364066.298,4,Reference,11.325,1.2467171229104164,-1.2467171229104164,6,0.9960294280896856,517.7964673816865,164.0767873334417,1.682390839636517,881.1281681047736,True,False
ceh14,241292.0,364488.0,4,Reference,14.42,1.3610526315789464,-1.3610526315789464,6,0.9787501967267258,492.7117107310711,156.25133271100447,1.9769605331463378,1035.4048369420634,True,False
ceh16,240988.214,363614.897,5,Reference,6.167,1.054736842105262,-1.054736842105262,6,0.9671218452262001,476.51044887971375,151.2185460020597,0.9779543598013924,512.1896251694105,False,False
ceh17,240804.597413,363576.069469,5,Reference,6.091,2.190778776208816,-2.190778776208816,6,0.9578549179363888,463.9794509820219,147.33792769088816,2.2100531817261437,1157.4837817407572,True,False
ceh18,241267.167,363202.889,3,Reference,4.704,0.6201449275362316,-0.6201449275362316,6,0.9537772891150313,458.57033394656264,145.66616365948505,0.5129582720252887,268.6545669979302,False,False
ceh19,240845.741,363532.891,5,Reference,4.8,1.0011111111111113,-1.0011111111111113,6,0.9625689594565332,470.31230058937865,149.2977571009365,0.9676336772826459,506.7843151385388,False,False
ceh20,241153.0,363829.0,4,Reference,8.728,1.4685005767012695,-1.4685005767012695,6,0.9791452513216162,493.27160492204774,156.4255650493002,1.4488793379372118,758.8298549683583,True,False
ceh21,241470.51,362937.659,3,Reference,3.5220000000000002,0.5966666666666671,-0.5966666666666671,6,0.9634895896714619,471.5591045790553,149.68392928959105,0.6371974688940275,333.7230715122626,False,False
ceh23,242325.311,364428.124,1,Reference,10.018,0.7461170323928954,-0.7461170323928954,5,0.9231714681783512,389.4020467695027,111.71913430234133,0.38064242079683075,176.34238938209518,False,False
