key,col,Cluster,E,N,slope_mm_yr_2011_2025,p_ar_2011_2025,sig_2011_2025,rho_2011_2025,boot_lo_mm_yr_2011_2025,boot_hi_mm_yr_2011_2025,boot_sig_2011_2025,n_2011_2025,slope_mm_yr_2005_2025,p_ar_2005_2025,sig_2005_2025,rho_2005_2025,boot_lo_mm_yr_2005_2025,boot_hi_mm_yr_2005_2025,boot_sig_2005_2025,n_2005_2025
ceh1,ceh1,3.0,241595.864,363948.335,16.62295563369205,0.14051677517401706,False,0.0,1.7387239948299549,31.708337761736566,True,15.0,3.87666414582494,0.5401673387134259,False,0.014346622174384418,-8.29448578572987,14.69439664782549,False,20
ceh10,ceh10,2.0,242538.185,363173.915,2.434626203559728,0.7062820922549203,False,0.0,-3.9350554502291444,9.675681344917166,False,15.0,5.6045237538615185,0.23203371815591514,False,0.0,-1.6065003641492175,12.92313115634783,False,20
ceh11,ceh11,1.0,242618.62,362688.287,-13.246091985354512,0.02745682551378314,True,0.0,-21.602366473634053,-5.059049889632817,True,15.0,5.445273168381108,0.5353955931543124,False,0.4238916732096013,-5.863424139317142,17.169826439406044,False,20
ceh13,ceh13,4.0,240964.108,364066.298,18.520387106700813,0.26778198404393166,False,0.0,-6.696117800778765,46.03801611290179,False,14.0,2.9222752725961105,0.7441961800636305,False,0.0617069334233999,-11.144542268355892,17.23100703801399,False,19
ceh14,ceh14,4.0,241292.0,364488.0,15.137744108674195,0.5222829218590066,False,0.0,-13.055315412256434,47.46075248651388,False,14.0,7.270136450965968,0.543039480499166,False,0.0,-9.069389924616424,23.71426438879833,False,19
ceh15,,,,,,,,,,,,,-11.255076655924247,0.6199407959909531,False,0.10869359516700292,-46.99547920479339,21.306495465155823,False,10
ceh16,ceh16,5.0,240988.214,363614.897,-2.5437110329742554,0.47870745675720044,False,0.0,-6.056077820169723,1.220512835310564,False,15.0,-10.107347886472875,0.04451626729894829,True,0.20469953792505918,-16.65535197236945,-3.555926803100112,True,18
ceh17,ceh17,5.0,240804.597413,363576.069469,-7.662758652021725,0.08691208437942145,False,0.04395509322418897,-13.504538679761815,-1.8228352387395141,True,15.0,-16.120419781897795,0.01256112453914655,True,0.21810731650640755,-23.763767270574313,-9.062797834827322,True,18
ceh18,ceh18,3.0,241267.167,363202.889,-10.067520556783519,0.00260881496100128,True,0.0,-14.083123132472354,-6.1413846214473535,True,15.0,-12.267650604050718,0.0005254517200855699,True,0.1334934746009846,-16.83244095512686,-7.7695869291835455,True,18
ceh19,ceh19,5.0,240845.741,363532.891,-12.198472937735977,0.050337372759246365,False,0.028657855063953706,-20.822469816955238,-4.260721935603192,True,15.0,-11.724134952175783,0.01280542857518263,True,0.0,-18.218992276724702,-4.893369816952678,True,18
ceh2,ceh2,4.0,241421.0,363979.0,14.920781584017224,0.21110682941906236,False,0.0,-1.9587385744349612,33.00629334778679,False,14.0,3.4248310971859355,0.5467644257937933,False,0.0,-5.811022545169157,13.29511815942605,False,19
ceh20,ceh20,4.0,241153.0,363829.0,14.039622300358735,0.11159852975709929,False,0.0,1.972137032571915,26.116795264646978,True,15.0,5.4990461061006135,0.45898697895116686,False,0.020019506682739927,-6.541096131012077,16.635155078009348,False,17
ceh21,ceh21,3.0,241470.51,362937.659,-15.127044366307233,0.004223470726004344,True,0.15035940357688735,-20.447108802583838,-9.77842714516888,True,15.0,-15.006479038598455,0.003660497652701824,True,0.05931777851971864,-21.0743430114541,-8.718471122080212,True,15
ceh22,ceh22,,241375.022,362906.94,-26.501166146166273,0.000919176066165929,True,0.0,-35.4382349653512,-17.374616904802192,True,15.0,-27.53148021494741,0.0005984268039467216,True,0.0,-37.94053096729939,-17.046984740942012,True,16
ceh23,ceh23,1.0,242325.311,364428.124,-9.181553142093732,0.37927532249464435,False,0.0,-22.962486963620613,3.6553443000596784,False,14.0,-8.55113689159097,0.39319472842022446,False,0.0,-21.30858873429961,4.137683499833368,False,15
ceh24,ceh24,2.0,242938.911,363392.114,-1.9960919853549637,0.6319880408146358,False,0.0,-6.8237892916480645,3.336628008220272,False,15.0,-0.3806444708140315,0.9339538707773721,False,0.1380898302295822,-7.54210785836203,6.795761956481808,False,16
ceh25,ceh25,1.0,242512.557,364638.544,-5.293711032973634,0.5859940282375934,False,0.0,-18.74766852421583,7.99437294627511,False,15.0,-4.468879764931853,0.6228346245239048,False,0.0,-18.398580643918862,9.726357162223012,False,16
ceh26,ceh26,1.0,242172.261,364362.239,-8.103234842497374,0.4016817574479807,False,0.0,-20.60393927066576,4.801526732341946,False,15.0,-4.250742510029563,0.6554045898855185,False,0.0,-18.652552189658916,9.327071330522816,False,16
ceh27,ceh27,1.0,242005.373,364330.297,-2.93656817583087,0.6775222920242812,False,0.0,-13.63659098003091,7.829380196368168,False,15.0,-1.5914287845396489,0.8254830623093936,False,0.0,-13.76550210983667,10.06539445068236,False,16
ceh28,ceh28,2.0,242331.051,364122.039,-2.9739937704818655,0.662510878294503,False,0.0,-11.871672754416029,6.390297225682078,False,14.0,-1.8454330033858426,0.7818724342896622,False,0.0,-9.85546829744319,6.6845879570567766,False,15
ceh3,ceh3,,240743.0,363388.0,-18.87704436630728,0.1113213065778424,False,0.0,-35.68845404768492,-2.960977762970238,True,15.0,-23.74144362359882,0.0020558803474700436,True,0.0,-34.18328399431116,-12.544377177509475,True,20
ceh30,ceh30,4.0,241072.0,363760.0,8.432479443216042,0.19065774003192212,False,0.0,-0.4563698084706435,17.17645488969057,False,15.0,8.553044770924819,0.1738143749872666,False,0.0,0.7516657364095083,16.87431151060675,True,15
ceh31,ceh31,5.0,241075.0,363538.0,-4.138949128212178,0.21732075071249768,False,0.0,-6.730835687173457,-2.0496764118092097,True,15.0,-4.0183838005033925,0.3511274278270413,False,0.0,-7.487164487824416,-0.5902911559609647,True,15
ceh32,Ceh32,4.0,241167.0,364003.0,20.48009849083476,0.14104600851501994,False,0.0,0.9193419464359619,40.12707136113261,True,15.0,20.600663818543527,0.12870611108898533,False,0.0,1.914132747460378,39.11516899759878,True,15
ceh33,ceh33,4.0,240936.0,363808.0,13.361050871787345,0.12749112913435484,False,0.0,0.9140773189168634,25.992014093871965,True,15.0,13.481616199496113,0.11561562758078706,False,0.0,1.750696979150592,25.498013701083696,True,15
