Block,a_P_summer,a_h_max_winter,intercept,R2,n_hydrological_years,p_value_P_summer,p_value_h_max_winter,p_value_intercept,equation
Lake_Edge,0.0014625349968054844,0.4589454935378997,-1.4231317324830748,0.4370067252422212,19,0.003688162547178418,0.031437460519657796,2.428926939116094e-07,h_min_summer = (0.00146*P_summer) + (0.459*h_max_winter) - 1.423
Eastern_Block,0.0017752699203413469,0.5263166915475983,-1.5975203358426964,0.6417646011100322,20,0.00031920186621848574,0.00013552197528166185,3.1828531605972637e-09,h_min_summer = (0.00178*P_summer) + (0.526*h_max_winter) - 1.598
Western_Block,0.001254927906394039,0.5630663533208503,-1.4099492319061084,0.7331946637763986,20,0.006965080184419383,3.3270543136624967e-06,3.087361996167762e-08,h_min_summer = (0.00125*P_summer) + (0.563*h_max_winter) - 1.410
Forest,0.0012869586595197317,0.7575680578139782,-1.4469788116902795,0.9345007065433969,19,0.0029887932364509287,7.319940506976372e-11,7.707280657057709e-09,h_min_summer = (0.00129*P_summer) + (0.758*h_max_winter) - 1.447
Coastal_Forest,0.0006857175679693237,0.5217740030510662,-1.2876355555362982,0.8970781134854552,19,0.04117180919447047,3.1064052225302674e-09,1.3276134259941472e-08,h_min_summer = (0.00069*P_summer) + (0.522*h_max_winter) - 1.288
