Block,a_P_winter,a_h_min,intercept,R2,n_hydrological_years,p_value_P_winter,p_value_h_min,p_value_intercept,equation
Lake_Edge,0.0010929047691823491,-0.06002988991021054,-0.5648891301730341,0.4825640570872616,19,0.0017991182090587223,0.773341507944656,0.050165991506908786,h_peak = (0.00109*P_winter) + (-0.060*h_min) - 0.565
Eastern_Block,0.0012772226483948235,0.2634062193995478,-0.5070672925842348,0.49000146559908153,20,0.00967386759786704,0.19059983488006904,0.1594876917639544,h_peak = (0.00128*P_winter) + (0.263*h_min) - 0.507
Western_Block,0.0014472250259119095,0.7445700039426484,-0.2297819132305312,0.6245127846903781,20,0.04685166777192293,0.044635829111702094,0.7411182847676316,h_peak = (0.00145*P_winter) + (0.745*h_min) - 0.230
Forest,-9.19174090267863e-05,1.2335581889794218,1.185304157394889,0.8720870192269816,19,0.8764096140904764,3.400029512990806e-07,0.030208234113834758,h_peak = (-0.00009*P_winter) + (1.234*h_min) + 1.185
Coastal_Forest,0.0003641038136989411,1.637196718606302,1.3689405078610473,0.8652478002101257,19,0.4469830052738969,7.858795105774444e-08,0.0043357184706424145,h_peak = (0.00036*P_winter) + (1.637*h_min) + 1.369
