Block,beta_1_P_winter,beta_2_h_min,intercept,R2,n_hydrological_years,p_value_P_winter,p_value_h_min,p_value_intercept,equation
Western_Block,9.869432264280904e-05,1.1691518536117707,0.8299002059459267,0.6838728631853939,20,0.818297721977046,0.0001058368413830763,0.06302607782799435,h_peak = (0.00010*P_winter) + (1.169*h_min) + 0.830
Eastern_Block,0.0005675539092820287,0.3050701854527474,-0.08895020369806611,0.23978643786216924,20,0.1947525768937576,0.468656299167849,0.8632600689383688,h_peak = (0.00057*P_winter) + (0.305*h_min) - 0.089
Forest,-0.00019957437693423046,1.3135665740773705,1.2509268636686293,0.8938217349818484,19,0.5571812861203685,1.3125745197582667e-08,0.0007892062253723163,h_peak = (-0.00020*P_winter) + (1.314*h_min) + 1.251
