Cluster,Label,beta_1,beta_2,beta_3,alpha,horizon,horizon_n_months,peak_month,h_0_m,P_flood_mm,lambda_multiplier,slope_A,intercept_B,P_clim_mm
C1,C1 (Lake Edge),0.00457835577892712,0.0009629506136304936,0.0895595812907288,0.9104404187092712,Oct–M1 (4 mo),4,1,-0.8140119047619049,457.186848402384,1.1409270348080058,173.4783704430294,315.97338964306226,400.715238095238
C2,C2 (Dune),0.003977674104674411,0.001765718279334922,0.0656208928491551,0.9343791071508449,Oct–M1 (4 mo),4,1,-0.97169330163226,503.16149502123795,1.2556585005675565,213.03943310625527,296.15250488835574,400.715238095238
C3,C3 (Western Residual),0.0035719369716436505,0.0018495107845653337,0.0582085185181236,0.9417914814818764,Oct–Feb (5 mo),5,2,-1.2140208215479684,662.4432238828836,1.427676431446216,236.55944679980834,375.2551299340474,464.0009523809523
C4,C4 (Main Forest),0.0025183742397928335,0.002547981719800747,0.0204536717160393,0.9795463282839607,Oct–Feb (5 mo),5,2,-1.7970788828360995,961.2796919706203,2.07171922177736,374.96972782798645,287.4295123881461,464.0009523809523
C5,C5 (Coastal Forest),0.002411998967784741,0.0013237441589361318,0.0452092770551808,0.9547907229448191,Oct–Feb (5 mo),5,2,-1.4820377049180329,964.245501209359,2.078111038913769,364.2869245569114,424.3585436073855,464.0009523809523
