Block,beta_1_P_summer,beta_2_h_max_winter,intercept,R2,n_hydrological_years,p_value_P_summer,p_value_h_max_winter,p_value_intercept,equation
Western_Block,0.0009603057051470842,0.577464032465087,-1.2135630869822962,0.7744539553594968,20,0.0176467278249713,1.3253888695755974e-06,1.8284004282223713e-08,h_min_summer = (0.00096*P_summer) + (0.577*h_max_winter) - 1.214
Eastern_Block,0.0009262609951750142,0.33329708555376597,-1.1825111896989888,0.4109545982355711,20,0.015165274198539587,0.013901579335179453,1.9376716742847904e-09,h_min_summer = (0.00093*P_summer) + (0.333*h_max_winter) - 1.183
Forest,0.0007899565301557194,0.7172683783138029,-1.1802041111636394,0.9210374441604668,19,0.026220255743527914,3.089647013986597e-10,7.328030840219913e-09,h_min_summer = (0.00079*P_summer) + (0.717*h_max_winter) - 1.180
