key,Cluster,E,N,dry_m,wet_m,swing_mm,amp_coefficient,ci_lo,ci_hi,se,n_dry,n_wet,tier,dry_2012_present,beta_2_atmospheric_draw,beta_3_drainage
ceh14,4.0,241292.0,364488.0,-1.2808333333333333,-0.08416666666666667,1196.6666666666665,2.351799394641546,1.8605979898241642,2.8430007994589275,0.2986026777005359,4,4,A,False,3.7917916197154287,-0.0202914741431291
lis1,4.0,241406.0,363720.0,-0.8233333333333334,0.15833333333333333,981.6666666666667,1.965922202076809,1.3963861044629164,2.535458299690702,0.3462225517409681,3,2,A,False,,
ceh2,4.0,241421.0,363979.0,-1.3533333333333333,-0.42749999999999994,925.8333333333333,1.8195328185562376,1.389346510786608,2.249719126325867,0.2615114332946076,4,4,A,False,2.779483157917483,0.0190760472151101
nw10,4.0,241435.0,364325.025,-1.1766666666666665,-0.26916666666666667,907.4999999999999,1.7835024657135399,1.4323053401904953,2.1346995912365845,0.21349369332707874,4,4,A,False,2.716260778504925,0.0399699952982256
ceh13,4.0,240964.108,364066.298,-1.3058333333333332,-0.4025,903.3333333333331,1.775313749158381,1.3539947006309248,2.196632797685837,0.2561210021443503,4,4,A,False,2.714153509166392,0.0006527739859413
ceh1,3.0,241595.864,363948.335,-0.8259999999999998,0.21833333333333332,1044.333333333333,1.7345945227324062,1.5869798867937184,1.882209158671094,0.08973534099616275,5,4,A,True,2.184750673497012,0.066571436886973
ceh32,4.0,241167.0,364003.0,-2.005333333333333,-1.0183333333333333,986.9999999999999,1.6393662246443204,1.3555635757555902,1.9231688735330505,0.1725244066192889,5,4,A,True,2.480630597735461,0.0162554652336768
ceh34,4.0,241334.0,363887.0,-1.0926666666666667,-0.11916666666666667,973.5,1.6169432823619514,1.4002750440341796,1.8336115206897232,0.13171321478891904,5,4,A,True,2.581174586167569,0.0093874410078775
ceh42,3.0,242120.528,362743.198,-0.40888888888888886,0.3711111111111111,780.0,1.6083156554942721,1.241340009434388,1.9752913015541562,0.2230854991245496,3,3,A,False,1.1973139336403142,0.0517665440425835
fe1,4.0,241338.0,363744.0,-0.7966666666666665,-0.03222222222222222,764.4444444444442,1.5762409843020782,1.2215832617666638,1.9308987068374925,0.21559739971757721,3,3,A,False,,
ceh15,4.0,240679.892,363754.368,-1.5010000000000001,-0.30266666666666664,1198.3333333333335,1.5598116623635407,1.4748271454093946,1.6447961793176868,0.05166232033686691,2,2,A,True,,
ceh10,3.0,242538.185,363173.915,-1.3579999999999999,-0.4291666666666667,928.8333333333331,1.5427537943165817,1.3317511932572197,1.7537563953759436,0.12826905839474897,5,4,A,True,1.7230682451090007,0.1012116336618602
fe4,5.0,241223.2,363692.4,-1.5444444444444443,-0.8133333333333334,731.111111111111,1.4641503214109113,1.106105953612234,1.8221946892095886,0.21765615063749383,3,2,A,False,,
nw7,3.0,241423.695,363584.862,-1.35,-0.615,735.0000000000001,1.4444896003299748,1.2966349746499979,1.5923442260099516,0.0898812314163993,4,4,A,False,2.1821433335575358,0.0461996490149514
ceh20,4.0,241153.0,363829.0,-1.46,-0.5941666666666666,865.8333333333334,1.4381133969988593,1.2537009078865833,1.6225258861111354,0.11210485660320732,5,4,A,True,2.155440213263985,0.0233440357176244
ceh33,4.0,240936.0,363808.0,-1.9406666666666665,-1.0891666666666666,851.4999999999999,1.4143063224768375,1.2381316898077501,1.590480955145925,0.10709704113622331,5,4,A,True,2.1246627502320115,0.0226157063760021
nw5,3.0,241711.757,363023.697,-0.7593333333333333,0.08333333333333334,842.6666666666666,1.3996345207365222,1.218213767396333,1.5810552740767114,0.11028617224327611,5,4,A,True,2.0113866532980818,0.0498243827403514
wmc2,3.0,241885.149,362855.856,-0.6848666666666666,0.14583333333333334,830.7,1.3797583817751136,1.1682061675515476,1.5913105959986795,0.12860316974076957,5,4,A,True,1.7583924081972346,0.0474436209152989
t41a,3.0,242709.928,363275.666,-0.41400000000000003,0.38999999999999996,804.0,1.33541078481665,1.1755816897220843,1.4952398799112159,0.09716054413043515,5,4,A,True,1.6063833649592816,0.0962838877438416
ceh30,4.0,241072.0,363760.0,-1.8846666666666665,-1.0825,802.1666666666665,1.3323656938894146,1.1832091067388713,1.481522281039958,0.09067269735595346,5,4,A,True,2.0620726214518035,0.0264497940246693
d38,3.0,242711.571,363069.196,-0.6646666666666667,0.11916666666666667,783.8333333333334,1.3019147846170618,1.0975732967295984,1.5062562725045252,0.12421974947566161,5,4,A,True,1.226539275783697,0.1089224059951457
nw6,3.0,241444.307,363316.599,-0.5541666666666667,0.105,659.1666666666666,1.2954549590260882,1.1948337526761803,1.396076165375996,0.061167906595688715,4,4,A,False,1.5402410359891785,0.0585284153114612
nw11,3.0,241689.0,364237.0,-0.9179999999999999,-0.14416666666666667,773.8333333333333,1.2853051977412326,1.1828051715662085,1.3878052239162568,0.062310046307005644,5,4,A,True,2.014347637254651,0.0756309812212997
nw8b,5.0,241272.0,363487.0,-1.4344444444444446,-0.8244444444444444,610.0000000000002,1.257785320322444,1.1316490179269363,1.3839216227179518,0.0766786032799439,3,3,A,False,,
d25,3.0,242215.187,363143.807,-0.635,0.16833333333333336,803.3333333333334,1.2496199160774697,1.1367029341704182,1.3625368979845212,0.06864254219273641,4,4,A,True,1.673248957324297,0.06618166348733
fe2,5.0,241135.0,363595.0,-1.597777777777778,-1.0033333333333334,594.4444444444446,1.2257106491302503,0.9902969574149264,1.4611243408455743,0.14310862718256773,3,3,A,False,,
nw2,3.0,241703.008,364112.082,-0.8553333333333333,-0.12666666666666668,728.6666666666666,1.2102852303520717,1.105696522926789,1.3148739377773544,0.06357976135275542,5,4,A,True,1.7524960333027102,0.0816290771426179
d9,3.0,242710.726,363910.68,-0.544,0.17416666666666666,718.1666666666667,1.1928451641324516,1.0702381499823004,1.3154521782826027,0.07453313930100376,5,4,A,True,2.0946533474390554,0.0623079713905078
wmc3,3.0,241217.327,363562.323,-1.3263333333333334,-0.6125,713.8333333333334,1.185647676486259,1.0862498463446846,1.2850455066278332,0.060424212852020875,5,4,A,True,1.7953965268286134,0.0346430840172884
nw1,3.0,241725.0,364139.0,-1.6620000000000001,-0.9491666666666667,712.8333333333335,1.1839867177986763,1.071431651490524,1.2965417841068285,0.06842253271012298,5,4,A,True,1.967871979199984,0.1001944993825424
ceh16,5.0,240988.214,363614.897,-1.0513333333333335,-0.36,691.3333333333335,1.148276106015644,1.0159783875498023,1.2805738244814855,0.08042414496403745,5,4,A,True,1.3585091212811706,0.0389957604612578
fe3,5.0,241104.1,363546.1,-1.9222222222222223,-1.3583333333333334,563.8888888888889,1.1292648755562882,0.9535593645505718,1.3049703865620046,0.10681186079374855,3,2,A,False,,
ceh9,3.0,241711.211,363459.012,-0.8273333333333334,-0.1491666666666667,678.1666666666667,1.1264068166291354,1.0144310991760697,1.2383825340822012,0.068070344956271,5,4,A,True,2.145505473916032,0.0349598680715503
ceh37,2.0,242886.0,363346.0,-0.43833333333333335,0.2708333333333333,709.1666666666667,1.1031395732177665,0.9488901263523175,1.2573890200832154,0.09376866070847961,4,4,A,True,,
ceh18,3.0,241267.167,363202.889,-0.8946666666666667,-0.23083333333333333,663.8333333333334,1.1025997421071139,0.9488714357207579,1.2563280484934698,0.09345185798562672,5,4,A,True,1.5083639097965165,0.0607353483005399
wmc4,3.0,241760.293,364180.707,-0.8191666666666667,-0.17,649.1666666666666,1.0817923405831142,0.9201761019138611,1.2434085792523675,0.09824695359833018,4,4,A,True,1.7024983656725978,0.0889170936524717
ceh24,2.0,242938.911,363392.114,-0.344,0.3016666666666667,645.6666666666666,1.072425659282691,0.978118241721005,1.166733076844377,0.05732973711956599,5,4,A,True,1.517593086280558,0.0745139287644887
ceh39,3.0,241719.0,363435.0,-0.48000000000000004,0.06307377049180328,543.0737704918033,1.06729852202367,0.9876932849143586,1.1469037591329814,0.0483922414038367,4,4,A,False,2.044342770961737,0.0335400388138642
nw13,3.0,241761.0,364180.0,-0.7741666666666667,-0.13583333333333336,638.3333333333333,1.0637393233461687,0.9231915138967458,1.2042871327955917,0.08543939784159447,4,4,A,True,1.6344067412287744,0.0884883097824673
ceh36,3.0,241161.0,363306.0,-0.7506666666666667,-0.11233333333333334,638.3333333333334,1.06024529557375,0.9766497925126865,1.1438407986348136,0.05081793499152803,5,4,A,True,0.8835347899674448,0.0506105435891483
d15,3.0,241980.565,363895.719,-0.364,0.25833333333333336,622.3333333333334,1.0336699565724237,0.9184504206147177,1.1488894925301296,0.07004227109890943,5,4,A,True,1.982469661691394,0.0628375886524962
d43,2.0,242664.714,363428.693,-0.5840000000000001,0.03833333333333334,622.3333333333334,1.0336699565724237,0.955371575085304,1.1119683380595433,0.047597800296121394,5,4,A,True,1.7475896216204545,0.0770276640770555
nw8,5.0,241276.11,363480.129,-1.6316666666666668,-0.8433333333333333,788.3333333333336,1.0333499656116412,0.6843068651341943,1.382393066089088,0.21218425560939022,2,1,B,True,,
ceh4,3.0,241131.693,363211.05,-0.7786666666666667,-0.16999999999999998,608.6666666666667,1.0109701878421242,0.8673510481873719,1.1545893274968766,0.08730646787522944,5,4,A,True,0.967566189390509,0.0690953590371289
l7,2.0,242812.0,364395.0,-1.4933333333333334,-0.8883333333333333,605.0000000000001,1.0048800059876535,0.8900287624702008,1.1197312495051062,0.06981838511699254,5,4,A,True,2.530785429885345,0.0852549211720435
