Well,Role,Era,beta_3,CI_95,p_value,Sig
CEH36,Impact (scraped),Baseline,0.096,"[0.023, 0.169]",0.0107,*
CEH36,Impact (scraped),Pure Scraping,0.142,"[0.062, 0.223]",0.0011,**
CEH36,Impact (scraped),Felling Pulse,0.124,"[0.065, 0.183]",<0.001,***
CEH4,Control (paired),Baseline,0.071,"[0.028, 0.115]",0.0016,**
CEH4,Control (paired),Pure Scraping,0.164,"[0.081, 0.246]",<0.001,***
CEH4,Control (paired),Felling Pulse,0.122,"[0.072, 0.173]",<0.001,***
CEH18,Impact (boundary),Baseline,0.077,"[0.039, 0.116]",<0.001,***
CEH18,Impact (boundary),Felling Pulse,0.109,"[0.027, 0.192]",0.0098,**
CEH18,Impact (boundary),After Scraping,0.162,"[0.020, 0.304]",0.0265,*
CEH21,Impact (coastal),Baseline,0.106,"[0.055, 0.156]",<0.001,***
CEH21,Impact (coastal),Coastal Drawdown,0.06,"[-0.001, 0.121]",0.0553,ns
CEH21,Impact (coastal),After Scraping,0.104,"[-0.012, 0.220]",0.0757,ns
CEH22,Control (coastal),Baseline,0.14,"[0.087, 0.193]",<0.001,***
CEH22,Control (coastal),Coastal Drawdown,0.149,"[0.073, 0.225]",<0.001,***
CEH22,Control (coastal),After Scraping,0.249,"[0.087, 0.412]",0.0041,**
