distance_m,scrape_head_mm,standing_pine_head_mm,thinned_forest_head_mm,coastal_6m_storm_head_mm,coastal_5yr_head_mm
714.74,-5.43,-6.08,-3.04,-16.79,-32.47
715.99,-5.40,-6.04,-3.02,-16.68,-32.25
717.25,-5.37,-6.01,-3.00,-16.56,-32.03
718.50,-5.34,-5.98,-2.99,-16.45,-31.82
719.75,-5.31,-5.94,-2.97,-16.34,-31.60
721.00,-5.28,-5.91,-2.95,-16.23,-31.38
722.25,-5.25,-5.88,-2.94,-16.12,-31.17
723.50,-5.22,-5.84,-2.92,-16.00,-30.95
724.76,-5.19,-5.81,-2.90,-15.89,-30.73
726.01,-5.16,-5.78,-2.89,-15.78,-30.52
727.26,-5.13,-5.75,-2.87,-15.67,-30.30
728.51,-5.10,-5.71,-2.86,-15.55,-30.08
729.76,-5.07,-5.68,-2.84,-15.44,-29.86
731.02,-5.05,-5.65,-2.82,-15.33,-29.65
732.27,-5.02,-5.62,-2.81,-15.22,-29.43
733.52,-4.99,-5.59,-2.79,-15.11,-29.21
734.77,-4.96,-5.55,-2.78,-14.99,-29.00
736.02,-4.93,-5.52,-2.76,-14.88,-28.78
737.27,-4.91,-5.49,-2.75,-14.77,-28.56
738.53,-4.88,-5.46,-2.73,-14.66,-28.35
739.78,-4.85,-5.43,-2.72,-14.54,-28.13
741.03,-4.82,-5.40,-2.70,-14.43,-27.91
742.28,-4.80,-5.37,-2.69,-14.32,-27.69
743.53,-4.77,-5.34,-2.67,-14.21,-27.48
744.78,-4.74,-5.31,-2.66,-14.10,-27.26
746.04,-4.72,-5.28,-2.64,-13.98,-27.04
747.29,-4.69,-5.25,-2.63,-13.87,-26.83
748.54,-4.66,-5.22,-2.61,-13.76,-26.61
749.79,-4.64,-5.19,-2.60,-13.65,-26.39
751.04,-4.61,-5.16,-2.58,-13.53,-26.17
752.29,-4.59,-5.13,-2.57,-13.42,-25.96
753.55,-4.56,-5.11,-2.55,-13.31,-25.74
754.80,-4.53,-5.08,-2.54,-13.20,-25.52
756.05,-4.51,-5.05,-2.52,-13.09,-25.31
757.30,-4.48,-5.02,-2.51,-12.97,-25.09
758.55,-4.46,-4.99,-2.50,-12.86,-24.87
759.81,-4.43,-4.96,-2.48,-12.75,-24.66
761.06,-4.41,-4.94,-2.47,-12.64,-24.44
762.31,-4.38,-4.91,-2.45,-12.52,-24.22
763.56,-4.36,-4.88,-2.44,-12.41,-24.00
764.81,-4.34,-4.85,-2.43,-12.30,-23.79
766.06,-4.31,-4.83,-2.41,-12.19,-23.57
767.32,-4.29,-4.80,-2.40,-12.08,-23.35
768.57,-4.26,-4.77,-2.39,-11.96,-23.14
769.82,-4.24,-4.75,-2.37,-11.85,-22.92
771.07,-4.22,-4.72,-2.36,-11.74,-22.70
772.32,-4.19,-4.69,-2.35,-11.63,-22.49
773.57,-4.17,-4.67,-2.33,-11.51,-22.27
774.83,-4.15,-4.64,-2.32,-11.40,-22.05
776.08,-4.12,-4.62,-2.31,-11.29,-21.83
777.33,-4.10,-4.59,-2.29,-11.18,-21.62
778.58,-4.08,-4.56,-2.28,-11.07,-21.40
779.83,-4.05,-4.54,-2.27,-10.95,-21.18
781.08,-4.03,-4.51,-2.26,-10.84,-20.97
782.34,-4.01,-4.49,-2.24,-10.73,-20.75
783.59,-3.99,-4.46,-2.23,-10.62,-20.53
784.84,-3.96,-4.44,-2.22,-10.50,-20.31
786.09,-3.94,-4.41,-2.21,-10.39,-20.10
787.34,-3.92,-4.39,-2.19,-10.28,-19.88
788.60,-3.90,-4.36,-2.18,-10.17,-19.66
789.85,-3.87,-4.34,-2.17,-10.06,-19.45
791.10,-3.85,-4.31,-2.16,-9.94,-19.23
792.35,-3.83,-4.29,-2.15,-9.83,-19.01
793.60,-3.81,-4.27,-2.13,-9.72,-18.80
794.85,-3.79,-4.24,-2.12,-9.61,-18.58
796.11,-3.77,-4.22,-2.11,-9.49,-18.36
797.36,-3.75,-4.20,-2.10,-9.38,-18.14
798.61,-3.73,-4.17,-2.09,-9.27,-17.93
799.86,-3.70,-4.15,-2.07,-9.16,-17.71
801.11,-3.68,-4.12,-2.06,-9.05,-17.49
802.36,-3.66,-4.10,-2.05,-8.93,-17.28
803.62,-3.64,-4.08,-2.04,-8.82,-17.06
804.87,-3.62,-4.06,-2.03,-8.71,-16.84
806.12,-3.60,-4.03,-2.02,-8.60,-16.62
807.37,-3.58,-4.01,-2.01,-8.48,-16.41
808.62,-3.56,-3.99,-1.99,-8.37,-16.19
809.87,-3.54,-3.97,-1.98,-8.26,-15.97
811.13,-3.52,-3.94,-1.97,-8.15,-15.76
812.38,-3.50,-3.92,-1.96,-8.04,-15.54
813.63,-3.48,-3.90,-1.95,-7.92,-15.32
814.88,-3.46,-3.88,-1.94,-7.81,-15.11
816.13,-3.44,-3.86,-1.93,-7.70,-14.89
817.39,-3.42,-3.83,-1.92,-7.59,-14.67
818.64,-3.41,-3.81,-1.91,-7.47,-14.45
819.89,-3.39,-3.79,-1.90,-7.36,-14.24
821.14,-3.37,-3.77,-1.89,-7.25,-14.02
822.39,-3.35,-3.75,-1.87,-7.14,-13.80
823.64,-3.33,-3.73,-1.86,-7.03,-13.59
824.90,-3.31,-3.71,-1.85,-6.91,-13.37
826.15,-3.29,-3.69,-1.84,-6.80,-13.15
827.40,-3.27,-3.67,-1.83,-6.69,-12.94
828.65,-3.26,-3.65,-1.82,-6.58,-12.72
829.90,-3.24,-3.63,-1.81,-6.46,-12.50
831.15,-3.22,-3.60,-1.80,-6.35,-12.28
832.41,-3.20,-3.58,-1.79,-6.24,-12.07
833.66,-3.18,-3.56,-1.78,-6.13,-11.85
834.91,-3.17,-3.54,-1.77,-6.02,-11.63
836.16,-3.15,-3.52,-1.76,-5.90,-11.42
837.41,-3.13,-3.51,-1.75,-5.79,-11.20
838.66,-3.11,-3.49,-1.74,-5.68,-10.98
839.92,-3.10,-3.47,-1.73,-5.57,-10.76
841.17,-3.08,-3.45,-1.72,-5.45,-10.55
842.42,-3.06,-3.43,-1.71,-5.34,-10.33
843.67,-3.04,-3.41,-1.70,-5.23,-10.11
844.92,-3.03,-3.39,-1.69,-5.12,-9.90
846.18,-3.01,-3.37,-1.69,-5.01,-9.68
847.43,-2.99,-3.35,-1.68,-4.89,-9.46
848.68,-2.98,-3.33,-1.67,-4.78,-9.25
849.93,-2.96,-3.31,-1.66,-4.67,-9.03
851.18,-2.94,-3.30,-1.65,-4.56,-8.81
852.43,-2.93,-3.28,-1.64,-4.44,-8.59
853.69,-2.91,-3.26,-1.63,-4.33,-8.38
854.94,-2.89,-3.24,-1.62,-4.22,-8.16
856.19,-2.88,-3.22,-1.61,-4.11,-7.94
857.44,-2.86,-3.20,-1.60,-4.00,-7.73
858.69,-2.85,-3.19,-1.59,-3.88,-7.51
859.94,-2.83,-3.17,-1.58,-3.77,-7.29
861.20,-2.81,-3.15,-1.58,-3.66,-7.08
862.45,-2.80,-3.13,-1.57,-3.55,-6.86
863.70,-2.78,-3.12,-1.56,-3.43,-6.64
864.95,-2.77,-3.10,-1.55,-3.32,-6.42
866.20,-2.75,-3.08,-1.54,-3.21,-6.21
867.45,-2.74,-3.06,-1.53,-3.10,-5.99
868.71,-2.72,-3.05,-1.52,-2.99,-5.77
869.96,-2.71,-3.03,-1.51,-2.87,-5.56
871.21,-2.69,-3.01,-1.51,-2.76,-5.34
872.46,-2.67,-3.00,-1.50,-2.65,-5.12
873.71,-2.66,-2.98,-1.49,-2.54,-4.90
874.97,-2.65,-2.96,-1.48,-2.42,-4.69
876.22,-2.63,-2.95,-1.47,-2.31,-4.47
877.47,-2.62,-2.93,-1.46,-2.20,-4.25
878.72,-2.60,-2.91,-1.46,-2.09,-4.04
879.97,-2.59,-2.90,-1.45,-1.97,-3.82
881.22,-2.57,-2.88,-1.44,-1.86,-3.60
882.48,-2.56,-2.86,-1.43,-1.75,-3.39
883.73,-2.54,-2.85,-1.42,-1.64,-3.17
884.98,-2.53,-2.83,-1.42,-1.53,-2.95
886.23,-2.51,-2.82,-1.41,-1.41,-2.73
887.48,-2.50,-2.80,-1.40,-1.30,-2.52
888.73,-2.49,-2.78,-1.39,-1.19,-2.30
889.99,-2.47,-2.77,-1.38,-1.08,-2.08
891.24,-2.46,-2.75,-1.38,-0.96,-1.87
892.49,-2.45,-2.74,-1.37,-0.85,-1.65
893.74,-2.43,-2.72,-1.36,-0.74,-1.43
894.99,-2.42,-2.71,-1.35,-0.63,-1.21
896.24,-2.40,-2.69,-1.35,-0.52,-1.00
897.50,-2.39,-2.68,-1.34,-0.40,-0.78
898.75,-2.38,-2.66,-1.33,-0.29,-0.56
900.00,-2.36,-2.65,-1.32,-0.18,-0.35
