group,n_wells,pre_b1,pre_b2,pre_b3,post_b1,post_b2,post_b3,pre_r2,post_r2,baci_db1,baci_db2,baci_db3,baci_db3_pct
CEH36 (scraped),1,2.9092,1.2033,0.0526,3.1458,1.2626,0.0558,0.7021,0.8216,0.1318,-0.4065,0.0027,5.2209
C3+CEH31 (non-forest uphill),6,3.2503,1.8826,0.0492,3.5463,2.4742,0.0529,0.6717,0.8554,0.1912,0.1258,0.0033,6.6104
C4 (forest uphill),4,2.3429,2.0036,0.0323,2.7580,2.4526,0.0354,0.6331,0.8241,0.3103,-0.0168,0.0028,8.5185
All uphill,10,3.0476,2.0692,0.0423,3.2747,2.5160,0.0468,0.6853,0.8571,0.1223,-0.0191,0.0041,9.6805
