Well,Control,N_pre,N_post,Pre_mean_gap_m,Post_mean_gap_m,Shift_m,Shift_mm,t_stat,p_value,Sig
CEH18,Climate,4,11,-0.101,-0.0808,0.0202,20.2,0.549,0.596054522710998,ns
CEH18,Paired,4,11,-0.1975,-0.1418,0.0557,55.7,1.358,0.20366427794136968,ns
CEH21,Climate,4,11,-0.121,-0.1826,-0.0616,-61.6,-0.984,0.36518401027817865,ns
CEH21,Paired,4,11,-0.4975,-0.5055,-0.008,-8.0,-0.154,0.8865208018735028,ns
CEH4,Climate,4,11,0.0965,0.061,-0.0355,-35.5,-1.04,0.31791666405427405,ns
CEH22,Climate,4,11,0.3765,0.3228,-0.0537,-53.7,-0.826,0.43175387856447656,ns
CEH36,Climate,4,11,0.0565,0.2155,0.159,159.0,3.763,0.006606477477970535,**
CEH36,Paired,4,11,-0.04,0.1545,0.1945,194.5,4.848,0.004453841237273587,**
