Well,Shift,Net_Benefit_m
CEH36,Pure_Scraping,0.14353184604419095
CEH36,Felling_Pulse,-0.0489412022425072
CEH18,Felling_Pulse,-0.009826996431941237
CEH18,After_Scraping,-0.07252789388246444
