Well,Era,beta_3_drainage,P_Value,Conf_Low,Conf_High
CEH36,1_Baseline,0.08826695241686404,0.024911710013352358,0.011639337876808778,0.1648945669569193
CEH36,2_Pure_Scraping,0.1410120499091764,0.001237222297217851,0.06026443461140728,0.2217596652069455
CEH36,3_Felling_Pulse,0.10889443404270147,0.0003766566263820321,0.05025914518574527,0.16752972289965767
CEH4,1_Baseline,0.07018379292417934,0.0019676757886449986,0.026357411062978536,0.11401017478538014
CEH4,2_Pure_Scraping,0.16284561203260317,0.0003455415774435891,0.08044991592298587,0.24524130814222048
CEH4,3_Felling_Pulse,0.11048373418872924,3.55353795509134e-05,0.059928225077023896,0.1610392433004346
CEH18,1_Baseline,0.07518984145232246,0.00019746954885086894,0.036421453304475535,0.1139582296001694
CEH18,2_Felling_Pulse,0.10519938863899704,0.012897739680743953,0.023014324674489273,0.1873844526035048
CEH18,3_After_Scraping,0.15588413176773652,0.025103238229854934,0.021144408039867002,0.29062385549560604
CEH21,1_Baseline,0.10505166729118769,8.322546206513027e-05,0.05448708710124292,0.15561624748113245
CEH21,2_Coastal_Drawdown,0.05810673609885626,0.06289661887636307,-0.0032141936642656466,0.11942766586197817
CEH21,3_After_Scraping,0.08115574593111312,0.15497817407263162,-0.03265399235008455,0.1949654842123108
CEH22,1_Baseline,0.1364291067869342,1.8559585636609955e-06,0.08330322115028785,0.18955499242358056
CEH22,2_Coastal_Drawdown,0.15196189727031623,0.0002500981803213257,0.07370235159096473,0.23022144294966773
CEH22,3_After_Scraping,0.22965181079633223,0.007250100989742342,0.06812209448832315,0.3911815271043413
