Cluster,beta_1,beta_2,beta_3,Sy,h_disp,forest,peak_month,clearfell_b2_mult,thinning_b2_mult,broadleaf_b2_summer,broadleaf_b2_winter,summer_P,summer_PET,source_beta,source_Sy,source_peak_month,source_b2_mult,source_h_disp,source_climate
C1,4.577813590907992,0.9109262729676493,0.0889024540368703,0.21054040524305367,3.3143341232094436,False,1,1.0474710140473464,1.023735507023673,1.075,0.8817,0.06486332453825858,0.09015461866329708,pipeline,pipeline,pipeline,pipeline,pipeline,pipeline
C2,3.8956999904219503,1.666422670342663,0.06287994690097233,0.26802141363293225,3.185390770059328,False,1,1.0474710140473464,1.023735507023673,1.075,0.8817,0.06486332453825858,0.09015461866329708,pipeline,pipeline,pipeline,pipeline,pipeline,pipeline
C3,3.757786825005514,1.778065805120788,0.06161508554434086,0.29820068578930775,2.960552902858203,False,2,1.0474710140473464,1.023735507023673,1.075,0.8817,0.06486332453825858,0.09015461866329708,pipeline,pipeline,pipeline,pipeline,pipeline,pipeline
C4,2.4757654498272195,2.5702360687720596,0.01846592360638137,0.252637703083317,2.345290865034253,True,2,1.0474710140473464,1.023735507023673,1.075,0.8817,0.06486332453825858,0.09015461866329708,pipeline,pipeline,pipeline,pipeline,pipeline,pipeline
C5,2.4118433288008996,1.248147887922419,0.04504491230381465,0.3082747458265741,2.4514074427124193,True,2,1.0474710140473464,1.023735507023673,1.075,0.8817,0.06486332453825858,0.09015461866329708,pipeline,pipeline,pipeline,pipeline,pipeline,pipeline
