Cluster,Cluster_Label,n_members,n,R2,durbin_watson,ar1_phi,ljungbox12_p,hac_maxlag,p_beta_1_ols,p_beta_1_hac,p_beta_2_ols,p_beta_2_hac,p_beta_3_ols,p_beta_3_hac,sig_flips_hac
1,C1 (Lake Edge),7,237,0.7336018668037527,2.2081673065488463,-0.10734436375137933,0.13350553854850467,4,1.8994186762610746e-67,1.3324785737864417e-97,2.6642694346347105e-05,5.451755327984588e-07,1.356830076680814e-35,8.995980502899273e-70,0
2,C2 (Dune),24,248,0.7456220844804672,2.368049133443542,-0.1928540125211709,0.0029736363275150875,4,3.5504055343629496e-69,2.3895800194269966e-172,1.8573923084733249e-16,6.808217601493936e-29,1.2487396684252922e-25,3.1257019999881927e-58,0
3,C3 (Western Residual),21,249,0.8111129786748899,2.3697585484014674,-0.20477030703964816,0.019098295272340464,4,1.7115129871156654e-83,1.2896623660135644e-149,4.5937989882682043e-26,5.6278262475623776e-42,1.6998794890521133e-28,2.9927214198929267e-47,0
4,C4 (Main Forest),9,237,0.719330142197276,1.8122186346765747,0.056683557495717775,0.19914901115019257,4,2.126919204491396e-51,3.1486490537857075e-78,1.7193950258030387e-35,1.9953456473987733e-49,0.0020281967360357193,0.00015570025895901725,0
5,C5 (Coastal Forest),5,239,0.6829922345194555,2.055850623270874,-0.0405797342394562,0.12956032707528642,4,1.3695319389897754e-54,8.422213800403736e-88,1.7163598909819216e-15,4.806536303067207e-18,1.7621464766942943e-16,1.6252477379052068e-23,0
