well,network,E,N,basin_id
nw1,reference,241725.0,364139.0,4
nw2,reference,241703.008,364112.082,4
nw3,reference,242091.94,363939.361,20
nw4,reference,242431.164,363744.512,20
nw4b,reference,242414.677,363751.66,20
nw5,reference,241711.757,363023.697,14
nw6,reference,241444.307,363316.599,6
nw7,reference,241423.695,363584.862,5
nw8,extended,241276.11,363480.129,5
nw9,reference,240937.259,363567.162,-1
nw10,reference,241435.0,364325.025,4
nw12,extended,241262.0,364524.0,5
nw11,reference,241689.0,364237.0,4
ceh2,reference,241421.0,363979.0,4
ceh1,reference,241595.864,363948.335,4
ceh5,reference,242521.077,364465.817,1
ceh6,reference,242621.679,364724.912,1
ceh3,extended,240743.0,363388.0,-1
ceh4,reference,241131.693,363211.05,7
ceh7,extended,243385.803,363612.9,-1
ceh8,extended,243149.932,363382.305,-1
ceh10,reference,242538.185,363173.915,20
ceh9,reference,241711.211,363459.012,6
ceh25,reference,242512.557,364638.544,1
ceh26,reference,242172.261,364362.239,1
ceh11,reference,242618.62,362688.287,23
ceh12,extended,240339.0,364588.0,-1
ceh13,reference,240964.108,364066.298,-1
ceh14,reference,241292.0,364488.0,4
ceh15,extended,240679.892,363754.368,-1
ceh16,reference,240988.214,363614.897,-1
ceh17,reference,240804.597413,363576.069469,-1
ceh18,reference,241267.167,363202.889,7
ceh19,reference,240845.741,363532.891,-1
ceh20,reference,241153.0,363829.0,5
ceh21,reference,241470.51,362937.659,13
ceh22,extended,241375.022,362906.94,11
ceh23,reference,242325.311,364428.124,1
ceh24,reference,242938.911,363392.114,23
ceh34,reference,241334.0,363887.0,5
ceh37,extended,242886.0,363346.0,23
ceh27,reference,242005.373,364330.297,4
ceh28,reference,242331.051,364122.039,1
ceh30,reference,241072.0,363760.0,-1
ceh31,reference,241075.0,363538.0,-1
Ceh32,reference,241167.0,364003.0,5
ceh33,reference,240936.0,363808.0,-1
ceh40,reference,242060.283,363398.508,18
ceh41,reference,242284.022,363324.592,18
D7,reference,242610.75,364204.554,1
L1,extended,242804.097,364389.095,1
wmc3,reference,241217.327,363562.323,5
WMC2,reference,241885.149,362855.856,15
WMC1,reference,242765.629,363643.556,20
ceh42,reference,242120.528,362743.198,18
T41c,reference,242721.13,363323.682,23
D41,reference,242771.66,363342.853,23
T41a,reference,242709.928,363275.666,23
D31,other,243282.429,363259.347,-1
D34,other,242961.925,362945.353,12
D33,other,243166.881,363196.273,-1
D6,reference,242114.898,364021.851,20
D5,reference,242083.407,363901.712,20
D9,reference,242710.726,363910.68,23
D10,reference,242613.907,364118.797,23
D15,reference,241980.565,363895.719,20
D8,reference,242676.867,364024.231,23
D17,reference,242446.951,363534.961,20
T29,other,243586.282,363466.962,-1
D29,other,243600.797,363438.979,-1
D25,reference,242215.187,363143.807,18
D43,reference,242664.714,363428.693,20
T41d,reference,242731.987,363353.284,23
D44,reference,242819.407,363279.547,23
T41b,reference,242715.085,363309.565,23
D45,other,242898.911,362614.9,24
D38,reference,242711.571,363069.196,23
D39,other,243000.256,362899.535,-1
ceh38,extended,241130.0,363261.0,7
ceh39,reference,241719.0,363435.0,6
ceh35,extended,241081.0,363212.0,-1
ceh36,reference,241161.0,363306.0,7
nw13,reference,241761.0,364180.0,4
Nw8b,extended,241272.0,363487.0,5
L7,reference,242812.0,364395.0,1
wmc4,reference,241760.293,364180.707,4
L4,other,242897.825,364328.678,1
FE2,extended,241135.0,363595.0,5
FE1,extended,241338.0,363744.0,5
FE3,extended,241104.1,363546.1,5
LIS1,extended,241406.0,363720.0,5
FE4,extended,241223.2,363692.4,5
p2,extended,242303.0,364558.0,1
pw,extended,242056.0,363286.0,18
pe,extended,242739.0,362823.0,23
pdfs,other,240651.0,363372.0,-1
p1,extended,241243.0,363283.0,7
llyn rhos,other,242560.208,364820.878,1
d29b,other,243601.797,363438.979,-1
