cluster_id,cluster_label,n_wells,winter_mean_m,summer_mean_m,winter_minus_summer_m,ci_low,ci_high,p_value
1,C1 (Lake Edge),7,0.015996870191318093,0.004029865868328495,0.011967004322989598,0.003721029209506888,0.02236596049294347,0.06622757137648094
2,C2 (Dune),24,0.019149107436292546,0.008964807196516916,0.010184300239775632,0.004703451953889539,0.01534304777517316,0.000971918501783419
3,C3 (Western Residual),17,0.02805400981579478,0.013402706602019381,0.014651303213775394,0.012041374972830653,0.017182363355100566,1.2145300938120512e-08
4,C4 (Main Forest),9,0.0345283186212417,0.02221493331767901,0.01231338530356269,0.007261148699386154,0.017777481305663215,0.0029630655098600335
5,C5 (Coastal Forest),5,0.013618570995106027,0.010255128845198311,0.003363442149907717,0.001168560727248496,0.006044790084379586,0.07700637828367757
