cluster_id,cluster_label,month_of_year,mean_residual_m,sem_m,n_wells,n_months_per_well_mean
1,C1 (Lake Edge),1,0.012939667337386116,0.011471182732353724,7,17.428571428571427
1,C1 (Lake Edge),2,0.037234185000079176,0.005857399340570845,7,16.571428571428573
1,C1 (Lake Edge),3,-0.0040186803638045466,0.008664424244980668,7,16.571428571428573
1,C1 (Lake Edge),4,-0.05247366341986713,0.009319933831534122,7,17.0
1,C1 (Lake Edge),5,0.0028928576564676883,0.007382659522591262,7,17.285714285714285
1,C1 (Lake Edge),6,0.00011531659026949423,0.004344182952636597,7,17.571428571428573
1,C1 (Lake Edge),7,0.01763778783749,0.002887270541236774,7,17.428571428571427
1,C1 (Lake Edge),8,0.00030292808320030873,0.004845902611379075,7,17.428571428571427
1,C1 (Lake Edge),9,-0.028619770638587456,0.00779939271386335,7,17.428571428571427
1,C1 (Lake Edge),10,0.0023172889156810495,0.005039180273558154,7,17.285714285714285
1,C1 (Lake Edge),11,0.021947270862705,0.0074171170860671915,7,17.428571428571427
1,C1 (Lake Edge),12,-0.010748938198211896,0.008928933073663351,7,16.428571428571427
2,C2 (Dune),1,0.0169292026874804,0.0037420040610789632,24,16.708333333333332
2,C2 (Dune),2,0.005748371390009739,0.003947586195897593,24,15.75
2,C2 (Dune),3,-0.0028990068362187912,0.0049692380248725415,24,15.791666666666666
2,C2 (Dune),4,-0.044737743399359174,0.0038918890206946165,24,16.583333333333332
2,C2 (Dune),5,-0.002092321141868264,0.002500900736768104,24,16.708333333333332
2,C2 (Dune),6,0.0019685473897345473,0.003388391849274946,24,16.666666666666668
2,C2 (Dune),7,0.021131805229659087,0.0026125576695825332,24,16.625
2,C2 (Dune),8,0.010879878878428515,0.0037432535432896526,24,16.5
2,C2 (Dune),9,-0.046784828855581356,0.003671618164504555,24,15.791666666666666
2,C2 (Dune),10,-0.011633726751448194,0.004161640351505738,24,15.708333333333334
2,C2 (Dune),11,0.02770053850460265,0.004557851591125347,24,16.541666666666668
2,C2 (Dune),12,0.022141052372791112,0.005845888914172795,24,15.583333333333334
3,C3 (Western Residual),1,0.03376660720119736,0.0038859021838536447,17,17.705882352941178
3,C3 (Western Residual),2,0.005344689578767949,0.002643943530191167,17,16.823529411764707
3,C3 (Western Residual),3,-0.026194298255419336,0.0023905351778811196,17,17.0
3,C3 (Western Residual),4,-0.0384096368832419,0.005544282611732582,17,17.41176470588235
3,C3 (Western Residual),5,-0.0021061296729810272,0.004351288761627888,17,17.41176470588235
3,C3 (Western Residual),6,0.010966223388921953,0.002130364180794062,17,17.176470588235293
3,C3 (Western Residual),7,0.024920755065465303,0.0029262567172429646,17,17.41176470588235
3,C3 (Western Residual),8,0.012402369382576682,0.004623327565209824,17,17.058823529411764
3,C3 (Western Residual),9,-0.052256382963621124,0.005117124232143632,17,16.823529411764707
3,C3 (Western Residual),10,-0.021688353325265013,0.005344293387208554,17,16.88235294117647
3,C3 (Western Residual),11,0.02073996757041118,0.005593461803407272,17,17.41176470588235
3,C3 (Western Residual),12,0.03162679222210775,0.0050127666241941374,17,16.58823529411765
4,C4 (Main Forest),1,0.06325745684909273,0.007568297831141883,9,17.444444444444443
4,C4 (Main Forest),2,0.025928130431902417,0.005880989627193688,9,16.444444444444443
4,C4 (Main Forest),3,-0.010723924026283768,0.005997067228050142,9,16.444444444444443
4,C4 (Main Forest),4,-0.03627556193023225,0.003750600857662002,9,16.444444444444443
4,C4 (Main Forest),5,-0.009788851261502215,0.004243359715439295,9,16.555555555555557
4,C4 (Main Forest),6,0.020966104972306148,0.0038850958900589604,9,16.88888888888889
4,C4 (Main Forest),7,0.038924341094640394,0.004283014564790156,9,17.0
4,C4 (Main Forest),8,0.013498872484633388,0.005544304766628487,9,16.77777777777778
4,C4 (Main Forest),9,-0.061864717579919154,0.0051838282134722795,9,16.666666666666668
4,C4 (Main Forest),10,-0.058714054751988924,0.006602026960330854,9,16.444444444444443
4,C4 (Main Forest),11,0.0060923272842702885,0.008392679954260641,9,17.22222222222222
4,C4 (Main Forest),12,0.0027231374263589746,0.0033693931601820495,9,16.555555555555557
5,C5 (Coastal Forest),1,0.02546229440335524,0.00284254667471922,5,18.4
5,C5 (Coastal Forest),2,0.0006544952840858772,0.0050733048683518555,5,17.4
5,C5 (Coastal Forest),3,-0.024841985653460817,0.005452829538600795,5,17.6
5,C5 (Coastal Forest),4,-0.030171652221486607,0.004317822783461428,5,17.8
5,C5 (Coastal Forest),5,-0.005663605756829273,0.004718828155510818,5,17.8
5,C5 (Coastal Forest),6,0.0007466694423650999,0.004128001187144003,5,17.8
5,C5 (Coastal Forest),7,0.019726194963669858,0.007373107728783061,5,18.0
5,C5 (Coastal Forest),8,0.01711958404822802,0.0064852437287032,5,18.2
5,C5 (Coastal Forest),9,-0.0396081706674377,0.007543319723098521,5,18.0
5,C5 (Coastal Forest),10,-0.00970381273205443,0.006938492438593536,5,18.0
5,C5 (Coastal Forest),11,0.04082504992919548,0.00338436189427665,5,18.4
5,C5 (Coastal Forest),12,0.0031177977883829503,0.004196937700494567,5,17.4
